ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,1
2020-01-28,4
2020-01-29,4
2020-01-30,4
2020-01-31,5
2020-02-01,8
2020-02-02,10
2020-02-03,12
2020-02-04,12
2020-02-05,12
2020-02-06,12
2020-02-07,13
2020-02-08,13
2020-02-09,14
2020-02-10,14
2020-02-11,16
2020-02-12,16
2020-02-13,15
2020-02-14,15
2020-02-15,15
2020-02-16,15
2020-02-17,15
2020-02-18,4
2020-02-19,4
2020-02-20,4
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,2
2020-02-26,6
2020-02-27,10
2020-02-28,37
2020-02-29,50
2020-03-01,101
2020-03-02,134
2020-03-03,172
2020-03-04,224
2020-03-05,333
2020-03-06,517
2020-03-07,666
2020-03-08,829
2020-03-09,1092
2020-03-10,1276
2020-03-11,1539
2020-03-12,2339
2020-03-13,3011
2020-03-14,3741
2020-03-15,4780
2020-03-16,5933
2020-03-17,7077
2020-03-18,8081
2020-03-19,10866
2020-03-20,13746
2020-03-21,16382
2020-03-22,18289
2020-03-23,22320
2020-03-24,24079
2020-03-25,27858
2020-03-26,30637
2020-03-27,35377
2020-03-28,39776
2020-03-29,42947
2020-03-30,43343
2020-03-31,45230
2020-04-01,47934
2020-04-02,50210
2020-04-03,54104
2020-04-04,58220
2020-04-05,61672
2020-04-06,65257
2020-04-07,61537
2020-04-08,55067
2020-04-09,53688
2020-04-10,57239
2020-04-11,57714
2020-04-12,57506
2020-04-13,55917
2020-04-14,53929
2020-04-15,51730
2020-04-16,49881
2020-04-17,46848
2020-04-18,47929
2020-04-19,47603
2020-04-20,45768
2020-04-21,43659
2020-04-22,41415
2020-04-23,39652
2020-04-24,35262
2020-04-25,37138
2020-04-26,36535
2020-04-27,34943
2020-04-28,33024
2020-04-29,31126
2020-04-30,29331
2020-05-01,27377
2020-05-02,26128
2020-05-03,25247
2020-05-04,23783
2020-05-05,21929
2020-05-06,17911
2020-05-07,17272
2020-05-08,18334
2020-05-09,17882
2020-05-10,17423
2020-05-11,16541
2020-05-12,15775
2020-05-13,14972
2020-05-14,14216
2020-05-15,13731
2020-05-16,13291
2020-05-17,12430
2020-05-18,11721
2020-05-19,11522
2020-05-20,10951
2020-05-21,10518
2020-05-22,9974
2020-05-23,9918
2020-05-24,9753
2020-05-25,9114
2020-05-26,8733
2020-05-27,8195
2020-05-28,7946
2020-05-29,7763
2020-05-30,7799
2020-05-31,7630
2020-06-01,7672
2020-06-02,6897
2020-06-03,6366
2020-06-04,6274
2020-06-05,6178
2020-06-06,6074
2020-06-07,6087
2020-06-08,5963
2020-06-09,5703
2020-06-10,5502
2020-06-11,5700
2020-06-12,5376
2020-06-13,5271
2020-06-14,5393
2020-06-15,4978
2020-06-16,5197
2020-06-17,4755
2020-06-18,5061
2020-06-19,5690
2020-06-20,5643
2020-06-21,6200
2020-06-22,6331
2020-06-23,6142
2020-06-24,6113
2020-06-25,6388
2020-06-26,6459
2020-06-27,6771
2020-06-28,6885
2020-06-29,7030
2020-06-30,7186
2020-07-01,6640
2020-07-02,6434
2020-07-03,6371
2020-07-04,6086
2020-07-05,5604
2020-07-06,5378
2020-07-07,5259
2020-07-08,5152
2020-07-09,5007
2020-07-10,5096
2020-07-11,5230
2020-07-12,5327
2020-07-13,4799
2020-07-14,5207
2020-07-15,4655
2020-07-16,4782
2020-07-17,4861
2020-07-18,5089
2020-07-19,5090
2020-07-20,4667
2020-07-21,5034
2020-07-22,5076
2020-07-23,5127
2020-07-24,5376
2020-07-25,5927
2020-07-26,6096
2020-07-27,6177
2020-07-28,6409
2020-07-29,6519
2020-07-30,7143
2020-07-31,7565
2020-08-01,7869
2020-08-02,7844
2020-08-03,7660
2020-08-04,7952
