ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,12
2020-02-19,12
2020-02-20,12
2020-02-21,14
2020-02-22,14
2020-02-23,14
2020-02-24,14
2020-02-25,14
2020-02-26,15
2020-02-27,16
2020-02-28,16
2020-02-29,16
2020-03-01,16
2020-03-02,16
2020-03-03,16
2020-03-04,16
2020-03-05,16
2020-03-06,17
2020-03-07,18
2020-03-08,18
2020-03-09,18
2020-03-10,18
2020-03-11,25
2020-03-12,25
2020-03-13,46
2020-03-14,46
2020-03-15,46
2020-03-16,67
2020-03-17,67
2020-03-18,105
2020-03-19,113
2020-03-20,180
2020-03-21,233
2020-03-22,266
2020-03-23,266
2020-03-24,3243
2020-03-25,3547
2020-03-26,5673
2020-03-27,6658
2020-03-28,8481
2020-03-29,9211
2020-03-30,13500
2020-03-31,16100
2020-04-01,18700
2020-04-02,22440
2020-04-03,24575
2020-04-04,26400
2020-04-05,28700
2020-04-06,28700
2020-04-07,36081
2020-04-08,46300
2020-04-09,52407
2020-04-10,53913
2020-04-11,57400
2020-04-12,60300
2020-04-13,64300
2020-04-14,68200
2020-04-15,72600
2020-04-16,77000
2020-04-17,83114
2020-04-18,85400
2020-04-19,88000
2020-04-20,91500
2020-04-21,95200
2020-04-22,99400
2020-04-23,103300
2020-04-24,109800
2020-04-25,109800
2020-04-26,112000
2020-04-27,114500
2020-04-28,117400
2020-04-29,120400
2020-04-30,123500
2020-05-01,126900
2020-05-02,129000
2020-05-03,130600
2020-05-04,132700
2020-05-05,135100
2020-05-06,139900
2020-05-07,141700
2020-05-08,141700
2020-05-09,143300
2020-05-10,144400
2020-05-11,145617
2020-05-12,147200
2020-05-13,148700
2020-05-14,150300
2020-05-15,151597
2020-05-16,152600
2020-05-17,154011
2020-05-18,155041
2020-05-19,155681
2020-05-20,156966
2020-05-21,158087
2020-05-22,159064
2020-05-23,159716
2020-05-24,160281
2020-05-25,161199
2020-05-26,161967
2020-05-27,162820
2020-05-28,163360
2020-05-29,164245
2020-05-30,164908
2020-05-31,165352
2020-06-01,165632
2020-06-02,166609
2020-06-03,167453
2020-06-04,167909
2020-06-05,168480
2020-06-06,168958
2020-06-07,169224
2020-06-08,169556
2020-06-09,170129
2020-06-10,170630
2020-06-11,170961
2020-06-12,171535
2020-06-13,171970
2020-06-14,172089
2020-06-15,172692
2020-06-16,172842
2020-06-17,173599
2020-06-18,173847
2020-06-19,173972
2020-06-20,174609
2020-06-21,174740
2020-06-22,175143
2020-06-23,175825
2020-06-24,176422
2020-06-25,176764
2020-06-26,177149
2020-06-27,177518
2020-06-28,177657
2020-06-29,177770
2020-06-30,178100
2020-07-01,179100
2020-07-02,179800
2020-07-03,180300
2020-07-04,181000
2020-07-05,181719
2020-07-06,182160
2020-07-07,182661
2020-07-08,183153
2020-07-09,183728
2020-07-10,184028
2020-07-11,184266
2020-07-12,184414
2020-07-13,185100
2020-07-14,185100
2020-07-15,186000
2020-07-16,186400
2020-07-17,186900
2020-07-18,187200
2020-07-19,187400
2020-07-20,188070
2020-07-21,188221
2020-07-22,188628
2020-07-23,189140
2020-07-24,189696
2020-07-25,189919
2020-07-26,190055
2020-07-27,190314
2020-07-28,190711
2020-07-29,191279
2020-07-30,191551
2020-07-31,191992
2020-08-01,192636
2020-08-02,192908
2020-08-03,193594
2020-08-04,194173
2020-08-05,194568
