Country,Date,Confirmed,Recovered,Deaths
Spain,2020-01-22,0,0,0
Spain,2020-01-23,0,0,0
Spain,2020-01-24,0,0,0
Spain,2020-01-25,0,0,0
Spain,2020-01-26,0,0,0
Spain,2020-01-27,0,0,0
Spain,2020-01-28,0,0,0
Spain,2020-01-29,0,0,0
Spain,2020-01-30,0,0,0
Spain,2020-01-31,0,0,0
Spain,2020-02-01,1,0,0
Spain,2020-02-02,1,0,0
Spain,2020-02-03,1,0,0
Spain,2020-02-04,1,0,0
Spain,2020-02-05,1,0,0
Spain,2020-02-06,1,0,0
Spain,2020-02-07,1,0,0
Spain,2020-02-08,1,0,0
Spain,2020-02-09,2,0,0
Spain,2020-02-10,2,0,0
Spain,2020-02-11,2,0,0
Spain,2020-02-12,2,0,0
Spain,2020-02-13,2,0,0
Spain,2020-02-14,2,0,0
Spain,2020-02-15,2,2,0
Spain,2020-02-16,2,2,0
Spain,2020-02-17,2,2,0
Spain,2020-02-18,2,2,0
Spain,2020-02-19,2,2,0
Spain,2020-02-20,2,2,0
Spain,2020-02-21,2,2,0
Spain,2020-02-22,2,2,0
Spain,2020-02-23,2,2,0
Spain,2020-02-24,2,2,0
Spain,2020-02-25,6,2,0
Spain,2020-02-26,13,2,0
Spain,2020-02-27,15,2,0
Spain,2020-02-28,32,2,0
Spain,2020-02-29,45,2,0
Spain,2020-03-01,84,2,0
Spain,2020-03-02,120,2,0
Spain,2020-03-03,165,2,1
Spain,2020-03-04,222,2,2
Spain,2020-03-05,259,2,3
Spain,2020-03-06,400,2,5
Spain,2020-03-07,500,30,10
Spain,2020-03-08,673,30,17
Spain,2020-03-09,1073,32,28
Spain,2020-03-10,1695,32,35
Spain,2020-03-11,2277,183,54
Spain,2020-03-12,2277,183,55
Spain,2020-03-13,5232,193,133
Spain,2020-03-14,6391,517,195
Spain,2020-03-15,7798,517,289
Spain,2020-03-16,9942,530,342
Spain,2020-03-17,11748,1028,533
Spain,2020-03-18,13910,1081,623
Spain,2020-03-19,17963,1107,830
Spain,2020-03-20,20410,1588,1043
Spain,2020-03-21,25374,2125,1375
Spain,2020-03-22,28768,2575,1772
Spain,2020-03-23,35136,2575,2311
Spain,2020-03-24,39885,3794,2808
Spain,2020-03-25,49515,5367,3647
Spain,2020-03-26,57786,7015,4365
Spain,2020-03-27,65719,9357,5138
Spain,2020-03-28,73235,12285,5982
Spain,2020-03-29,80110,14709,6803
Spain,2020-03-30,87956,16780,7716
Spain,2020-03-31,95923,19259,8464
Spain,2020-04-01,104118,22647,9387
Spain,2020-04-02,112065,26743,10348
Spain,2020-04-03,119199,30513,11198
Spain,2020-04-04,126168,34219,11947
Spain,2020-04-05,131646,38080,12641
Spain,2020-04-06,136675,40437,13341
Spain,2020-04-07,141942,43208,14045
Spain,2020-04-08,148220,48021,14792
Spain,2020-04-09,153222,52165,15447
Spain,2020-04-10,158273,55668,16081
Spain,2020-04-11,163027,59109,16606
Spain,2020-04-12,166831,62391,17209
Spain,2020-04-13,170099,64727,17756
Spain,2020-04-14,172541,67504,18056
Spain,2020-04-15,177644,70853,18708
Spain,2020-04-16,184948,74797,19315
Spain,2020-04-17,190839,74797,20002
Spain,2020-04-18,191726,74797,20043
Spain,2020-04-19,198674,77357,20453
Spain,2020-04-20,200210,80587,20852
Spain,2020-04-21,204178,82514,21282
Spain,2020-04-22,208389,85915,21717
Spain,2020-04-23,213024,89250,22157
Spain,2020-04-24,202990,92355,22524
Spain,2020-04-25,205905,95708,22902
Spain,2020-04-26,207634,98372,23190
Spain,2020-04-27,209465,100875,23521
Spain,2020-04-28,210773,102548,23822
Spain,2020-04-29,212917,108947,24275
Spain,2020-04-30,213435,112050,24543
