ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,2
2020-02-16,2
2020-02-17,2
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,2
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,2
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,30
2020-03-08,30
2020-03-09,32
2020-03-10,32
2020-03-11,183
2020-03-12,183
2020-03-13,193
2020-03-14,517
2020-03-15,517
2020-03-16,530
2020-03-17,1028
2020-03-18,1081
2020-03-19,1107
2020-03-20,1588
2020-03-21,2125
2020-03-22,2575
2020-03-23,2575
2020-03-24,3794
2020-03-25,5367
2020-03-26,7015
2020-03-27,9357
2020-03-28,12285
2020-03-29,14709
2020-03-30,16780
2020-03-31,19259
2020-04-01,22647
2020-04-02,26743
2020-04-03,30513
2020-04-04,34219
2020-04-05,38080
2020-04-06,40437
2020-04-07,43208
2020-04-08,48021
2020-04-09,52165
2020-04-10,55668
2020-04-11,59109
2020-04-12,62391
2020-04-13,64727
2020-04-14,67504
2020-04-15,70853
2020-04-16,74797
2020-04-17,74797
2020-04-18,74797
2020-04-19,77357
2020-04-20,80587
2020-04-21,82514
2020-04-22,85915
2020-04-23,89250
2020-04-24,92355
2020-04-25,95708
2020-04-26,98372
2020-04-27,100875
2020-04-28,102548
2020-04-29,108947
2020-04-30,112050
2020-05-01,112050
2020-05-02,117248
2020-05-03,118902
2020-05-04,121343
2020-05-05,123486
2020-05-06,126002
2020-05-07,128511
2020-05-08,131148
2020-05-09,133952
2020-05-10,136166
2020-05-11,137139
2020-05-12,138980
2020-05-13,140823
2020-05-14,143374
2020-05-15,144783
2020-05-16,146446
2020-05-17,146446
2020-05-18,150376
2020-05-19,150376
2020-05-20,150376
2020-05-21,150376
2020-05-22,150376
2020-05-23,150376
2020-05-24,150376
2020-05-25,150376
2020-05-26,150376
2020-05-27,150376
2020-05-28,150376
2020-05-29,150376
2020-05-30,150376
2020-05-31,150376
2020-06-01,150376
2020-06-02,150376
2020-06-03,150376
2020-06-04,150376
2020-06-05,150376
2020-06-06,150376
2020-06-07,150376
2020-06-08,150376
2020-06-09,150376
2020-06-10,150376
2020-06-11,150376
2020-06-12,150376
2020-06-13,150376
2020-06-14,150376
2020-06-15,150376
2020-06-16,150376
2020-06-17,150376
2020-06-18,150376
2020-06-19,150376
2020-06-20,150376
2020-06-21,150376
2020-06-22,150376
2020-06-23,150376
2020-06-24,150376
2020-06-25,150376
2020-06-26,150376
2020-06-27,150376
2020-06-28,150376
2020-06-29,150376
2020-06-30,150376
2020-07-01,150376
2020-07-02,150376
2020-07-03,150376
2020-07-04,150376
2020-07-05,150376
2020-07-06,150376
2020-07-07,150376
2020-07-08,150376
2020-07-09,150376
2020-07-10,150376
2020-07-11,150376
2020-07-12,150376
2020-07-13,150376
2020-07-14,150376
2020-07-15,150376
2020-07-16,150376
2020-07-17,150376
2020-07-18,150376
2020-07-19,150376
2020-07-20,150376
2020-07-21,150376
2020-07-22,150376
2020-07-23,150376
2020-07-24,150376
2020-07-25,150376
2020-07-26,150376
2020-07-27,150376
2020-07-28,150376
2020-07-29,150376
2020-07-30,150376
2020-07-31,150376
2020-08-01,150376
2020-08-02,150376
2020-08-03,150376
2020-08-04,150376
2020-08-05,150376
