Country,Date,Confirmed,Recovered,Deaths
France,2020-01-22,0,0,0
France,2020-01-23,0,0,0
France,2020-01-24,2,0,0
France,2020-01-25,3,0,0
France,2020-01-26,3,0,0
France,2020-01-27,3,0,0
France,2020-01-28,4,0,0
France,2020-01-29,5,0,0
France,2020-01-30,5,0,0
France,2020-01-31,5,0,0
France,2020-02-01,6,0,0
France,2020-02-02,6,0,0
France,2020-02-03,6,0,0
France,2020-02-04,6,0,0
France,2020-02-05,6,0,0
France,2020-02-06,6,0,0
France,2020-02-07,6,0,0
France,2020-02-08,11,0,0
France,2020-02-09,11,0,0
France,2020-02-10,11,0,0
France,2020-02-11,11,0,0
France,2020-02-12,11,2,0
France,2020-02-13,11,2,0
France,2020-02-14,11,2,0
France,2020-02-15,12,4,1
France,2020-02-16,12,4,1
France,2020-02-17,12,4,1
France,2020-02-18,12,4,1
France,2020-02-19,12,4,1
France,2020-02-20,12,4,1
France,2020-02-21,12,4,1
France,2020-02-22,12,4,1
France,2020-02-23,12,4,1
France,2020-02-24,12,4,1
France,2020-02-25,14,11,1
France,2020-02-26,18,11,2
France,2020-02-27,38,11,2
France,2020-02-28,57,11,2
France,2020-02-29,100,12,2
France,2020-03-01,130,12,2
France,2020-03-02,191,12,3
France,2020-03-03,212,12,4
France,2020-03-04,285,12,4
France,2020-03-05,423,12,7
France,2020-03-06,613,12,9
France,2020-03-07,938,12,16
France,2020-03-08,1115,12,19
France,2020-03-09,1401,12,25
France,2020-03-10,1773,12,33
France,2020-03-11,2281,12,48
France,2020-03-12,2281,12,48
France,2020-03-13,3661,12,79
France,2020-03-14,4469,12,91
France,2020-03-15,4499,12,91
France,2020-03-16,6633,12,148
France,2020-03-17,7652,12,148
France,2020-03-18,9043,12,148
France,2020-03-19,10871,12,243
France,2020-03-20,12612,12,450
France,2020-03-21,14282,12,562
France,2020-03-22,16533,2200,674
France,2020-03-23,19856,2200,860
France,2020-03-24,22054,3243,1100
France,2020-03-25,24967,3900,1331
France,2020-03-26,28856,4948,1695
France,2020-03-27,32609,5700,1994
France,2020-03-28,37162,5700,2311
France,2020-03-29,39761,7202,2603
France,2020-03-30,44029,7927,3020
