ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,2
2020-02-13,2
2020-02-14,2
2020-02-15,4
2020-02-16,4
2020-02-17,4
2020-02-18,4
2020-02-19,4
2020-02-20,4
2020-02-21,4
2020-02-22,4
2020-02-23,4
2020-02-24,4
2020-02-25,11
2020-02-26,11
2020-02-27,11
2020-02-28,11
2020-02-29,12
2020-03-01,12
2020-03-02,12
2020-03-03,12
2020-03-04,12
2020-03-05,12
2020-03-06,12
2020-03-07,12
2020-03-08,12
2020-03-09,12
2020-03-10,12
2020-03-11,12
2020-03-12,12
2020-03-13,12
2020-03-14,12
2020-03-15,12
2020-03-16,12
2020-03-17,12
2020-03-18,12
2020-03-19,12
2020-03-20,12
2020-03-21,12
2020-03-22,2200
2020-03-23,2200
2020-03-24,3243
2020-03-25,3900
2020-03-26,4948
2020-03-27,5700
2020-03-28,5700
2020-03-29,7202
2020-03-30,7927
2020-03-31,9444
2020-04-01,10934
2020-04-02,12428
2020-04-03,14008
2020-04-04,15438
2020-04-05,16183
2020-04-06,17250
2020-04-07,19337
2020-04-08,21254
2020-04-09,23206
2020-04-10,24932
2020-04-11,26391
2020-04-12,27186
2020-04-13,27718
2020-04-14,28512
2020-04-15,30440
2020-04-16,32297
2020-04-17,33834
2020-04-18,35379
2020-04-19,35973
2020-04-20,36782
2020-04-21,38543
2020-04-22,39988
2020-04-23,41414
2020-04-24,42715
2020-04-25,43816
2020-04-26,44125
2020-04-27,44733
2020-04-28,45997
2020-04-29,47338
2020-04-30,48572
2020-05-01,49300
2020-05-02,49751
2020-05-03,49973
2020-05-04,50438
2020-05-05,51803
2020-05-06,53022
2020-05-07,54076
2020-05-08,54770
2020-05-09,54886
2020-05-10,55062
2020-05-11,55569
2020-05-12,56617
2020-05-13,57368
2020-05-14,58300
2020-05-15,59143
2020-05-16,59142
2020-05-17,59907
2020-05-18,60416
2020-05-19,61246
2020-05-20,61713
2020-05-21,62216
2020-05-22,62557
2020-05-23,62893
2020-05-24,62961
2020-05-25,63542
2020-05-26,64222
2020-05-27,64503
2020-05-28,65098
2020-05-29,65599
2020-05-30,66051
2020-05-31,66123
2020-06-01,66120
2020-06-02,66485
2020-06-03,67031
2020-06-04,67510
2020-06-05,68007
2020-06-06,68282
2020-06-07,68283
2020-06-08,68319
2020-06-09,68736
2020-06-10,69032
2020-06-11,69344
2020-06-12,69578
2020-06-13,69783
2020-06-14,69820
2020-06-15,69719
2020-06-16,69943
2020-06-17,70223
2020-06-18,70322
2020-06-19,70496
2020-06-20,70641
2020-06-21,70661
2020-06-22,70737
2020-06-23,70952
2020-06-24,71138
2020-06-25,71322
2020-06-26,71550
2020-06-27,71455
2020-06-28,71455
2020-06-29,71595
2020-06-30,71714
2020-07-01,71879
2020-07-02,72054
2020-07-03,72181
2020-07-04,72092
2020-07-05,72092
2020-07-06,72233
2020-07-07,72363
2020-07-08,72133
2020-07-09,72408
2020-07-10,72396
2020-07-11,72200
2020-07-12,72200
2020-07-13,72180
2020-07-14,71918
2020-07-15,71774
2020-07-16,71910
2020-07-17,71979
2020-07-18,71639
2020-07-19,71639
2020-07-20,71494
2020-07-21,71382
2020-07-22,71238
2020-07-23,71618
2020-07-24,71811
2020-07-25,71566
2020-07-26,71566
2020-07-27,71497
2020-07-28,71667
2020-07-29,71597
2020-07-30,71643
2020-07-31,71656
2020-08-01,71511
2020-08-02,71511
2020-08-03,71258
2020-08-04,71152
2020-08-05,71484
