ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,2
2020-02-08,2
2020-02-09,2
2020-02-10,2
2020-02-11,2
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,2
2020-03-06,11
2020-03-07,11
2020-03-08,14
2020-03-09,14
2020-03-10,17
2020-03-11,17
2020-03-12,25
2020-03-13,42
2020-03-14,51
2020-03-15,55
2020-03-16,82
2020-03-17,106
2020-03-18,139
2020-03-19,189
2020-03-20,243
2020-03-21,293
2020-03-22,350
2020-03-23,421
2020-03-24,472
2020-03-25,626
2020-03-26,799
2020-03-27,987
2020-03-28,1211
2020-03-29,1462
2020-03-30,1761
2020-03-31,2199
2020-04-01,2563
2020-04-02,3283
2020-04-03,3834
2020-04-04,4355
2020-04-05,4989
2020-04-06,5890
2020-04-07,6945
2020-04-08,8029
2020-04-09,9357
2020-04-10,11028
2020-04-11,12433
2020-04-12,14349
2020-04-13,16710
2020-04-14,19238
2020-04-15,22306
2020-04-16,25402
2020-04-17,29145
2020-04-18,33423
2020-04-19,39201
2020-04-20,43270
2020-04-21,48434
2020-04-22,53066
2020-04-23,57327
2020-04-24,62439
2020-04-25,67657
2020-04-26,73435
2020-04-27,79007
2020-04-28,84235
2020-04-29,88141
2020-04-30,93806
2020-05-01,100042
2020-05-02,107819
2020-05-03,116768
2020-05-04,125817
2020-05-05,134054
2020-05-06,143065
2020-05-07,151732
2020-05-08,159528
2020-05-09,164933
2020-05-10,173467
2020-05-11,179534
2020-05-12,186615
2020-05-13,192056
2020-05-14,196410
2020-05-15,202199
2020-05-16,206340
2020-05-17,211748
2020-05-18,217747
2020-05-19,220974
2020-05-20,220341
2020-05-21,221774
2020-05-22,223374
2020-05-23,224558
2020-05-24,227641
2020-05-25,230996
2020-05-26,227406
2020-05-27,224504
2020-05-28,223916
2020-05-29,223992
2020-05-30,224551
2020-05-31,229267
2020-06-01,233965
2020-06-02,231553
2020-06-03,230948
2020-06-04,230965
2020-06-05,231499
2020-06-06,231450
2020-06-07,234950
2020-06-08,239854
2020-06-09,236579
2020-06-10,234378
2020-06-11,234629
2020-06-12,235194
2020-06-13,238511
2020-06-14,241793
2020-06-15,245382
2020-06-16,243671
2020-06-17,241281
2020-06-18,239262
2020-06-19,236610
2020-06-20,234146
2020-06-21,236636
2020-06-22,239422
2020-06-23,234682
2020-06-24,229318
2020-06-25,229997
2020-06-26,227642
2020-06-27,225118
2020-06-28,226067
2020-06-29,228316
2020-06-30,225650
2020-07-01,221723
2020-07-02,222287
2020-07-03,219942
2020-07-04,217426
2020-07-05,220143
2020-07-06,223002
2020-07-07,219634
2020-07-08,217381
2020-07-09,214920
2020-07-10,213629
2020-07-11,211667
2020-07-12,214510
2020-07-13,217957
2020-07-14,215232
2020-07-15,211069
2020-07-16,208891
2020-07-17,207428
2020-07-18,206078
2020-07-19,208601
2020-07-20,211160
2020-07-21,208082
2020-07-22,204115
2020-07-23,201552
2020-07-24,198745
2020-07-25,196096
2020-07-26,198652
2020-07-27,201097
2020-07-28,197468
2020-07-29,194655
2020-07-30,190733
2020-07-31,187305
2020-08-01,184540
2020-08-02,186212
2020-08-03,188086
2020-08-04,185200
2020-08-05,182714
2020-08-06,180539
