ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,2
2020-02-08,2
2020-02-09,2
2020-02-10,2
2020-02-11,2
2020-02-12,2
2020-02-13,2
2020-02-14,2
2020-02-15,2
2020-02-16,2
2020-02-17,2
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,2
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,2
2020-03-01,2
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,4
2020-03-06,13
2020-03-07,13
2020-03-08,17
2020-03-09,17
2020-03-10,20
2020-03-11,20
2020-03-12,28
2020-03-13,45
2020-03-14,59
2020-03-15,63
2020-03-16,90
2020-03-17,114
2020-03-18,147
2020-03-19,199
2020-03-20,253
2020-03-21,306
2020-03-22,367
2020-03-23,438
2020-03-24,495
2020-03-25,658
2020-03-26,840
2020-03-27,1036
2020-03-28,1264
2020-03-29,1534
2020-03-30,1836
2020-03-31,2337
2020-04-01,2777
2020-04-02,3548
2020-04-03,4149
2020-04-04,4731
2020-04-05,5389
2020-04-06,6343
2020-04-07,7497
2020-04-08,8672
2020-04-09,10131
2020-04-10,11917
2020-04-11,13584
2020-04-12,15770
2020-04-13,18328
2020-04-14,21102
2020-04-15,24490
2020-04-16,27938
2020-04-17,32008
2020-04-18,36793
2020-04-19,42853
2020-04-20,47121
2020-04-21,52763
2020-04-22,57999
2020-04-23,62773
2020-04-24,68622
2020-04-25,74588
2020-04-26,80949
2020-04-27,87147
2020-04-28,93558
2020-04-29,99399
2020-04-30,106498
2020-05-01,114431
2020-05-02,124054
2020-05-03,134687
2020-05-04,145268
2020-05-05,155370
2020-05-06,165929
2020-05-07,177160
2020-05-08,187859
2020-05-09,198676
2020-05-10,209688
2020-05-11,221344
2020-05-12,232243
2020-05-13,242271
2020-05-14,252245
2020-05-15,262843
2020-05-16,272043
2020-05-17,281752
2020-05-18,290678
2020-05-19,299941
2020-05-20,308705
2020-05-21,317554
2020-05-22,326448
2020-05-23,335882
2020-05-24,344481
2020-05-25,353427
2020-05-26,362342
2020-05-27,370680
2020-05-28,379051
2020-05-29,387623
2020-05-30,396575
2020-05-31,405843
2020-06-01,414328
2020-06-02,423186
2020-06-03,431715
2020-06-04,440538
2020-06-05,449256
2020-06-06,458102
2020-06-07,467073
2020-06-08,476043
2020-06-09,484630
2020-06-10,493023
2020-06-11,501800
2020-06-12,510761
2020-06-13,519458
2020-06-14,528267
2020-06-15,536484
2020-06-16,544725
2020-06-17,552549
2020-06-18,560321
2020-06-19,568292
2020-06-20,576162
2020-06-21,583879
2020-06-22,591465
2020-06-23,598878
2020-06-24,606043
2020-06-25,613148
2020-06-26,619936
2020-06-27,626779
2020-06-28,633563
2020-06-29,640246
2020-06-30,646929
2020-07-01,653479
2020-07-02,660231
2020-07-03,666941
2020-07-04,673564
2020-07-05,680283
2020-07-06,686852
2020-07-07,693215
2020-07-08,699749
2020-07-09,706240
2020-07-10,712863
2020-07-11,719449
2020-07-12,726036
2020-07-13,732547
2020-07-14,738787
2020-07-15,745197
2020-07-16,751612
2020-07-17,758001
2020-07-18,764215
2020-07-19,770311
2020-07-20,776212
2020-07-21,782040
2020-07-22,787890
2020-07-23,793720
2020-07-24,799499
2020-07-25,805332
2020-07-26,811073
2020-07-27,816680
2020-07-28,822060
2020-07-29,827509
2020-07-30,832993
2020-07-31,838461
2020-08-01,843890
2020-08-02,849277
2020-08-03,854641
2020-08-04,859762
2020-08-05,864948
2020-08-06,870187
