ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,2
2020-02-13,2
2020-02-14,2
2020-02-15,2
2020-02-16,2
2020-02-17,2
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,2
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,2
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,2
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,3
2020-03-13,3
2020-03-14,8
2020-03-15,8
2020-03-16,8
2020-03-17,8
2020-03-18,8
2020-03-19,9
2020-03-20,9
2020-03-21,12
2020-03-22,16
2020-03-23,16
2020-03-24,22
2020-03-25,29
2020-03-26,38
2020-03-27,45
2020-03-28,49
2020-03-29,64
2020-03-30,66
2020-03-31,121
2020-04-01,190
2020-04-02,235
2020-04-03,281
2020-04-04,333
2020-04-05,355
2020-04-06,406
2020-04-07,494
2020-04-08,580
2020-04-09,698
2020-04-10,795
2020-04-11,1045
2020-04-12,1291
2020-04-13,1470
2020-04-14,1694
2020-04-15,1986
2020-04-16,2304
2020-04-17,2590
2020-04-18,3057
2020-04-19,3291
2020-04-20,3446
2020-04-21,3873
2020-04-22,4420
2020-04-23,4891
2020-04-24,5568
2020-04-25,6250
2020-04-26,6767
2020-04-27,7346
2020-04-28,8456
2020-04-29,10286
2020-04-30,11619
2020-05-01,13220
2020-05-02,15013
2020-05-03,16639
2020-05-04,18095
2020-05-05,19865
2020-05-06,21327
2020-05-07,23803
2020-05-08,26608
2020-05-09,31916
2020-05-10,34306
2020-05-11,39801
2020-05-12,43512
2020-05-13,48003
2020-05-14,53530
2020-05-15,58226
2020-05-16,63166
2020-05-17,67373
2020-05-18,70209
2020-05-19,76130
2020-05-20,85392
2020-05-21,92681
2020-05-22,99825
2020-05-23,107936
2020-05-24,113299
2020-05-25,118798
2020-05-26,131129
2020-05-27,142208
2020-05-28,150993
2020-05-29,159257
2020-05-30,167469
2020-05-31,171883
2020-06-01,175514
2020-06-02,186602
2020-06-03,195559
2020-06-04,204197
2020-06-05,212237
2020-06-06,220935
2020-06-07,226272
2020-06-08,230226
2020-06-09,241917
2020-06-10,252295
2020-06-11,260649
2020-06-12,268862
2020-06-13,274128
2020-06-14,279536
2020-06-15,284021
2020-06-16,293780
2020-06-17,303800
2020-06-18,313409
2020-06-19,323851
2020-06-20,334024
2020-06-21,339142
2020-06-22,343847
2020-06-23,355847
2020-06-24,368222
2020-06-25,374557
2020-06-26,383524
2020-06-27,392703
2020-06-28,398436
2020-06-29,402778
2020-06-30,411973
2020-07-01,422235
2020-07-02,428276
2020-07-03,437155
2020-07-04,446127
2020-07-05,449995
2020-07-06,453570
2020-07-07,463103
2020-07-08,471718
2020-07-09,480494
2020-07-10,488234
2020-07-11,496594
2020-07-12,500208
2020-07-13,503168
2020-07-14,511958
2020-07-15,522375
2020-07-16,530801
2020-07-17,538467
2020-07-18,545909
2020-07-19,549387
2020-07-20,552644
2020-07-21,561397
2020-07-22,571049
2020-07-23,579295
2020-07-24,587728
2020-07-25,596064
2020-07-26,599172
2020-07-27,602249
2020-07-28,611109
2020-07-29,619204
2020-07-30,628482
2020-07-31,637217
2020-08-01,645316
2020-08-02,648961
2020-08-03,652372
2020-08-04,660235
2020-08-05,667769
2020-08-06,675069
2020-08-07,682278
