ds,y
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,6
2020-01-30,6
2020-01-31,8
2020-02-01,8
2020-02-02,8
2020-02-03,11
2020-02-04,11
2020-02-05,11
2020-02-06,12
2020-02-07,12
2020-02-08,12
2020-02-09,9
2020-02-10,9
2020-02-11,10
2020-02-12,10
2020-02-13,11
2020-02-14,11
2020-02-15,11
2020-02-16,11
2020-02-17,11
2020-02-18,11
2020-02-19,11
2020-02-20,11
2020-02-21,11
2020-02-22,11
2020-02-23,11
2020-02-24,11
2020-02-25,10
2020-02-26,10
2020-02-27,11
2020-02-28,10
2020-02-29,17
2020-03-01,24
2020-03-02,42
2020-03-03,60
2020-03-04,89
2020-03-05,165
2020-03-06,216
2020-03-07,379
2020-03-08,491
2020-03-09,565
2020-03-10,746
2020-03-11,1106
2020-03-12,1531
2020-03-13,2156
2020-03-14,2908
2020-03-15,3130
2020-03-16,4565
2020-03-17,6361
2020-03-18,8870
2020-03-19,13276
2020-03-20,19511
2020-03-21,25374
2020-03-22,34163
2020-03-23,45128
2020-03-24,55333
2020-03-25,67114
2020-03-26,84198
2020-03-27,102079
2020-03-28,123327
2020-03-29,137306
2020-03-30,155774
2020-03-31,179696
2020-04-01,208169
2020-04-02,238387
2020-04-03,268662
2020-04-04,293959
2020-04-05,318787
2020-04-06,346694
2020-04-07,371972
2020-04-08,399089
2020-04-09,430634
2020-04-10,459350
2020-04-11,483658
2020-04-12,506359
2020-04-13,521023
2020-04-14,542597
2020-04-15,561563
2020-04-16,586411
2020-04-17,613581
2020-04-18,632669
2020-04-19,650614
2020-04-20,676461
2020-04-21,697179
2020-04-22,722431
2020-04-23,749145
2020-04-24,760065
2020-04-25,787952
2020-04-26,805901
2020-04-27,824635
2020-04-28,842452
2020-04-29,862128
2020-04-30,856412
2020-05-01,879328
2020-05-02,892982
2020-05-03,910742
2020-05-04,926158
2020-05-05,945345
2020-05-06,967386
2020-05-07,988084
2020-05-08,1009539
2020-05-09,1018986
2020-05-10,1033097
2020-05-11,1034575
2020-05-12,1058814
2020-05-13,1063951
2020-05-14,1085084
2020-05-15,1103937
2020-05-16,1109161
2020-05-17,1123171
2020-05-18,1133346
2020-05-19,1146190
2020-05-20,1162593
2020-05-21,1182451
2020-05-22,1153359
2020-05-23,1161370
2020-05-24,1175406
2020-05-25,1181482
2020-05-26,1193806
2020-05-27,1204484
2020-05-28,1216180
2020-05-29,1233690
2020-05-30,1245803
2020-05-31,1235804
2020-06-01,1239397
2020-06-02,1252869
2020-06-03,1255624
2020-06-04,1276809
2020-06-05,1295665
2020-06-06,1306153
2020-06-07,1318005
2020-06-08,1322237
2020-06-09,1335307
2020-06-10,1347505
2020-06-11,1362178
2020-06-12,1379820
2020-06-13,1394037
2020-06-14,1407381
2020-06-15,1413461
2020-06-16,1430056
2020-06-17,1447669
2020-06-18,1468271
2020-06-19,1491091
2020-06-20,1511607
2020-06-21,1532453
2020-06-22,1543810
2020-06-23,1574449
2020-06-24,1601331
2020-06-25,1632680
2020-06-26,1673850
2020-06-27,1705608
2020-06-28,1742353
2020-06-29,1763239
2020-06-30,1797080
2020-07-01,1836139
2020-07-02,1838367
2020-07-03,1880761
2020-07-04,1822483
2020-07-05,1863451
2020-07-06,1888861
2020-07-07,1932620
2020-07-08,1975098
2020-07-09,2018069
2020-07-10,2072036
2020-07-11,2119333
2020-07-12,2168241
2020-07-13,2201557
2020-07-14,2249162
2020-07-15,2287440
2020-07-16,2342524
2020-07-17,2391517
2020-07-18,2439436
2020-07-19,2489488
2020-07-20,2520653
2020-07-21,2565828
2020-07-22,2603316
2020-07-23,2647692
2020-07-24,2693392
2020-07-25,2738831
2020-07-26,2775684
2020-07-27,2806357
2020-07-28,2840411
2020-07-29,2869033
2020-07-30,2912249
2020-07-31,2951635
2020-08-01,2984369
2020-08-02,3024212
2020-08-03,3020577
2020-08-04,3065443
2020-08-05,3069506
2020-08-06,3107730
2020-08-07,3141776
2020-08-08,3185375
2020-08-09,3225323
2020-08-10,3262527
2020-08-11,3274192
2020-08-12,3289125
2020-08-13,3318853
2020-08-14,3365991
2020-08-15,3395144
2020-08-16,3414653
2020-08-17,3419517
2020-08-18,3430610
2020-08-19,3448920
2020-08-20,3470962
2020-08-21,3499436
2020-08-22,3523719
2020-08-23,3542850
2020-08-24,3553334
2020-08-25,3561863
2020-08-26,3572012
2020-08-27,3604561
2020-08-28,3633064
2020-08-29,3652956
2020-08-30,3673321
2020-08-31,3675315
2020-09-01,3698390
2020-09-02,3708204
2020-09-03,3717123
2020-09-04,3748010
2020-09-05,3772097
2020-09-06,3786972
2020-09-07,3793660
2020-09-08,3794381
2020-09-09,3798548
2020-09-10,3821056
2020-09-11,3850170
2020-09-12,3878233
2020-09-13,3901383
2020-09-14,3910364
2020-09-15,3925791
2020-09-16,3932700
2020-09-17,3962410
2020-09-18,3995508
2020-09-19,4019642
2020-09-20,4047763
2020-09-21,4054119
2020-09-22,4060357
2020-09-23,4077131
2020-09-24,4085198
2020-09-25,4114274
2020-09-26,4133933
2020-09-27,4151589
2020-09-28,4160666
2020-09-29,4183109
2020-09-30,4193452
2020-10-01,4218839
2020-10-02,4258729
2020-10-03,4283387
2020-10-04,4301771
2020-10-05,4315215
2020-10-06,4341818
2020-10-07,4342548
2020-10-08,4378107
2020-10-09,4414383
2020-10-10,4445201
2020-10-11,4479548
2020-10-12,4489585
2020-10-13,4521072
2020-10-14,4547326
2020-10-15,4588433
2020-10-16,4637539
2020-10-17,4668552
2020-10-18,4706699
2020-10-19,4735635
2020-10-20,4773897
2020-10-21,4805239
2020-10-22,4854322
2020-10-23,4912663
2020-10-24,4958854
2020-10-25,5003162
2020-10-26,5029635
2020-10-27,5078647
2020-10-28,5133640
2020-10-29,5187749
2020-10-30,5262425
2020-10-31,5314821
2020-11-01,5374059
2020-11-02,5410909
2020-11-03,5503934
2020-11-04,5564690
2020-11-05,5653389
2020-11-06,5750198
2020-11-07,5835480
2020-11-08,5924575
2020-11-09,5993419
2020-11-10,6095536
2020-11-11,6206494
2020-11-12,6310011
2020-11-13,6444441
2020-11-14,6553833
2020-11-15,6666340
2020-11-16,6748681
2020-11-17,6862795
2020-11-18,6975703
2020-11-19,7106055
2020-11-20,7258564
2020-11-21,7364975
2020-11-22,7513695
2020-11-23,7587053
2020-11-24,7695416
2020-11-25,7734104
2020-11-26,7814701
2020-11-27,7951546
2020-11-28,8042801
2020-11-29,8140143
2020-11-30,8212455
2020-12-01,8326759
2020-12-02,8424559
2020-12-03,8559943
2020-12-04,8726332
2020-12-05,8840319
2020-12-06,8969836
2020-12-07,9073619
2020-12-08,9225745
2020-12-09,9335606
2020-12-10,9474416
2020-12-11,9559680
2020-12-12,9670414
2020-12-13,9808877
2020-12-14,16315134
2020-12-15,16538473
2020-12-16,16769552
2020-12-17,17006351
2020-12-18,17251360
2020-12-19,17454407
2020-12-20,17639893
2020-12-21,17834956
2020-12-22,18037590
2020-12-23,18255647
2020-12-24,18465671
2020-12-25,18591328
2020-12-26,18806861
2020-12-27,18941387
2020-12-28,19112819
2020-12-29,19315176
2020-12-30,19529582
2020-12-31,19841379
2021-01-01,20018036
2021-01-02,20287775
2021-01-03,20489743
2021-01-04,20673267
2021-01-05,20902533
2021-01-06,21158385
2021-01-07,21440608
2021-01-08,21740505
2021-01-09,22002005
2021-01-10,22210757
2021-01-11,22412882
2021-01-12,22630317
2021-01-13,22855638
2021-01-14,23087433
2021-01-15,23328603
2021-01-16,23542726
2021-01-17,23717289
2021-01-18,23856550
2021-01-19,24011055
2021-01-20,24194032
2021-01-21,24382474
2021-01-22,24570466
2021-01-23,24745105
2021-01-24,24883405
2021-01-25,25011237
2021-01-26,25158271
2021-01-27,25309637
2021-01-28,25472586
2021-01-29,25632751
2021-01-30,25780816
2021-01-31,25891726
2021-02-01,26015269
2021-02-02,26128769
2021-02-03,26249269
2021-02-04,26370407
2021-02-05,26497840
2021-02-06,26611964
2021-02-07,26699924
2021-02-08,26781281
2021-02-09,26873624
2021-02-10,26965528
2021-02-11,27069132
2021-02-12,27166870
2021-02-13,27255356
2021-02-14,27322506
2021-02-15,27377014
2021-02-16,27434603
2021-02-17,27501039
2021-02-18,27571040
2021-02-19,27643674
2021-02-20,27715539
2021-02-21,27769592
2021-02-22,27823876
2021-02-23,27895464
2021-02-24,27967267
2021-02-25,28042130
2021-02-26,28115410
2021-02-27,28185186
2021-02-28,28235860
2021-03-01,28284986
2021-03-02,28341486
2021-03-03,28406010
2021-03-04,28473028
2021-03-05,28539182
2021-03-06,28598699
2021-03-07,28639608
2021-03-08,28682993
2021-03-09,28736731
2021-03-10,28792963
2021-03-11,28853201
2021-03-12,28914387
2021-03-13,28970232
2021-03-14,29008992
2021-03-15,29059323
2021-03-16,29112133
2021-03-17,29170215
2021-03-18,29230970
2021-03-19,29291576
2021-03-20,29349671
2021-03-21,29384335
2021-03-22,29431210
2021-03-23,29483123
2021-03-24,29569419
2021-03-25,29635698
2021-03-26,29710914
2021-03-27,29774162
2021-03-28,29820041
2021-03-29,29885286
2021-03-30,29946082
2021-03-31,30014545
2021-04-01,30090298
2021-04-02,30163438
2021-04-03,30227564
2021-04-04,30265175
2021-04-05,30331803
2021-04-06,30393801
