ds,y
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,6
2020-01-30,6
2020-01-31,8
2020-02-01,8
2020-02-02,8
2020-02-03,11
2020-02-04,11
2020-02-05,11
2020-02-06,12
2020-02-07,12
2020-02-08,12
2020-02-09,12
2020-02-10,12
2020-02-11,13
2020-02-12,13
2020-02-13,14
2020-02-14,14
2020-02-15,14
2020-02-16,14
2020-02-17,14
2020-02-18,14
2020-02-19,14
2020-02-20,14
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,16
2020-02-25,16
2020-02-26,16
2020-02-27,17
2020-02-28,17
2020-02-29,25
2020-03-01,32
2020-03-02,55
2020-03-03,74
2020-03-04,107
2020-03-05,184
2020-03-06,237
2020-03-07,403
2020-03-08,519
2020-03-09,594
2020-03-10,782
2020-03-11,1147
2020-03-12,1586
2020-03-13,2219
2020-03-14,2978
2020-03-15,3212
2020-03-16,4679
2020-03-17,6512
2020-03-18,9169
2020-03-19,13663
2020-03-20,20030
2020-03-21,26025
2020-03-22,34944
2020-03-23,46096
2020-03-24,56714
2020-03-25,68841
2020-03-26,86662
2020-03-27,105253
2020-03-28,127417
2020-03-29,143544
2020-03-30,165698
2020-03-31,192079
2020-04-01,223254
2020-04-02,255530
2020-04-03,287931
2020-04-04,319776
2020-04-05,349016
2020-04-06,380798
2020-04-07,410834
2020-04-08,441897
2020-04-09,477507
2020-04-10,511790
2020-04-11,540714
2020-04-12,567022
2020-04-13,594165
2020-04-14,622493
2020-04-15,648390
2020-04-16,678028
2020-04-17,711135
2020-04-18,738464
2020-04-19,763886
2020-04-20,793970
2020-04-21,820045
2020-04-22,849926
2020-04-23,881891
2020-04-24,913856
2020-04-25,944770
2020-04-26,970741
2020-04-27,995391
2020-04-28,1019964
2020-04-29,1046816
2020-04-30,1076518
2020-05-01,1111410
2020-05-02,1138174
2020-05-03,1161907
2020-05-04,1185709
2020-05-05,1209728
2020-05-06,1234210
2020-05-07,1261949
2020-05-08,1289132
2020-05-09,1313586
2020-05-10,1332332
2020-05-11,1351409
2020-05-12,1374791
2020-05-13,1394806
2020-05-14,1420696
2020-05-15,1445547
2020-05-16,1469597
2020-05-17,1488326
2020-05-18,1510634
2020-05-19,1531137
2020-05-20,1553963
2020-05-21,1579115
2020-05-22,1602944
2020-05-23,1623133
2020-05-24,1643307
2020-05-25,1662401
2020-05-26,1681127
2020-05-27,1699890
2020-05-28,1721158
2020-05-29,1746240
2020-05-30,1769320
2020-05-31,1788239
2020-06-01,1806079
2020-06-02,1826169
2020-06-03,1845325
2020-06-04,1873259
2020-06-05,1899699
2020-06-06,1919968
2020-06-07,1937794
2020-06-08,1954693
2020-06-09,1975014
2020-06-10,1996733
2020-06-11,2019011
2020-06-12,2044569
2020-06-13,2068726
2020-06-14,2087627
2020-06-15,2108626
2020-06-16,2133175
2020-06-17,2160225
2020-06-18,2188452
2020-06-19,2219506
2020-06-20,2251332
2020-06-21,2277168
2020-06-22,2306969
2020-06-23,2345698
2020-06-24,2381949
2020-06-25,2421248
2020-06-26,2470295
2020-06-27,2511049
2020-06-28,2553974
2020-06-29,2595270
2020-06-30,2645093
2020-07-01,2694216
2020-07-02,2749159
2020-07-03,2800664
2020-07-04,2846609
2020-07-05,2900337
2020-07-06,2943502
2020-07-07,3000732
2020-07-08,3061038
2020-07-09,3120694
2020-07-10,3189553
2020-07-11,3249992
2020-07-12,3310124
2020-07-13,3369488
2020-07-14,3435150
2020-07-15,3501176
2020-07-16,3571990
2020-07-17,3638462
2020-07-18,3702784
2020-07-19,3761716
2020-07-20,3822379
2020-07-21,3890573
2020-07-22,3958118
2020-07-23,4026004
2020-07-24,4101151
2020-07-25,4165351
2020-07-26,4221190
2020-07-27,4280914
2020-07-28,4345744
2020-07-29,4409872
2020-07-30,4479113
2020-07-31,4543689
2020-08-01,4601267
2020-08-02,4648376
2020-08-03,4690060
2020-08-04,4751717
2020-08-05,4806065
2020-08-06,4866245
2020-08-07,4926832
2020-08-08,4990765
2020-08-09,5045032
2020-08-10,5096649
2020-08-11,5153604
2020-08-12,5208848
2020-08-13,5260504
2020-08-14,5330629
2020-08-15,5383025
2020-08-16,5417687
2020-08-17,5455536
2020-08-18,5500438
2020-08-19,5546322
2020-08-20,5591450
2020-08-21,5639041
2020-08-22,5684714
2020-08-23,5716625
2020-08-24,5750548
2020-08-25,5793221
2020-08-26,5835294
2020-08-27,5885812
2020-08-28,5932282
2020-08-29,5975384
2020-08-30,6009515
2020-08-31,6042877
2020-09-01,6084855
2020-09-02,6124816
2020-09-03,6169957
2020-09-04,6218291
2020-09-05,6261914
2020-09-06,6291033
2020-09-07,6315596
2020-09-08,6342340
2020-09-09,6375978
2020-09-10,6415426
2020-09-11,6460049
2020-09-12,6505632
2020-09-13,6545923
2020-09-14,6578488
2020-09-15,6615666
2020-09-16,6653958
2020-09-17,6699277
2020-09-18,6749462
2020-09-19,6795239
2020-09-20,6836849
2020-09-21,6868892
2020-09-22,6907163
2020-09-23,6948282
2020-09-24,6997165
2020-09-25,7044302
2020-09-26,7087849
2020-09-27,7121628
2020-09-28,7159367
2020-09-29,7201400
2020-09-30,7240032
2020-10-01,7286276
2020-10-02,7339719
2020-10-03,7388999
2020-10-04,7422130
2020-10-05,7459487
2020-10-06,7504032
2020-10-07,7553169
2020-10-08,7611059
2020-10-09,7666138
2020-10-10,7721505
2020-10-11,7768405
2020-10-12,7810485
2020-10-13,7860608
2020-10-14,7919050
2020-10-15,7982587
2020-10-16,8052761
2020-10-17,8107593
2020-10-18,8159763
2020-10-19,8227645
2020-10-20,8289382
2020-10-21,8350088
2020-10-22,8429709
2020-10-23,8511369
2020-10-24,8589745
2020-10-25,8650720
2020-10-26,8715284
2020-10-27,8792507
2020-10-28,8878983
2020-10-29,8970275
2020-10-30,9070124
2020-10-31,9157467
2020-11-01,9235297
2020-11-02,9317105
2020-11-03,9441871
2020-11-04,9542133
2020-11-05,9670214
2020-11-06,9797270
2020-11-07,9924334
2020-11-08,10044008
2020-11-09,10160964
2020-11-10,10297516
2020-11-11,10445199
2020-11-12,10603995
2020-11-13,10783512
2020-11-14,10947562
2020-11-15,11087277
2020-11-16,11240364
2020-11-17,11405011
2020-11-18,11576981
2020-11-19,11769282
2020-11-20,11970948
2020-11-21,12150766
2020-11-22,12297353
2020-11-23,12478864
2020-11-24,12652425
2020-11-25,12832636
2020-11-26,12949885
2020-11-27,13164520
2020-11-28,13332743
2020-11-29,13473088
2020-11-30,13628002
2020-12-01,13825118
2020-12-02,14021279
2020-12-03,14241504
2020-12-04,14476874
2020-12-05,14698882
2020-12-06,14878209
2020-12-07,15073669
2020-12-08,15300724
2020-12-09,15516731
2020-12-10,15753672
2020-12-11,15992577
2020-12-12,16217111
2020-12-13,16408708
2020-12-14,16618539
2020-12-15,16844855
2020-12-16,17079660
2020-12-17,17319907
2020-12-18,17567852
2020-12-19,17773704
2020-12-20,17960899
2020-12-21,18157760
2020-12-22,18363692
2020-12-23,18585131
2020-12-24,18798077
2020-12-25,18925253
2020-12-26,19142693
2020-12-27,19278656
2020-12-28,19451960
2020-12-29,19657933
2020-12-30,19876229
2020-12-31,20191317
2021-01-01,20370221
2021-01-02,20642503
2021-01-03,20845902
2021-01-04,21031409
2021-01-05,21264274
2021-01-06,21524039
2021-01-07,21810284
2021-01-08,22114354
2021-01-09,22379095
2021-01-10,22589938
2021-01-11,22793901
2021-01-12,23015712
2021-01-13,23245046
2021-01-14,23480622
2021-01-15,23725616
2021-01-16,23943303
2021-01-17,24119858
2021-01-18,24260687
2021-01-19,24417588
2021-01-20,24604976
2021-01-21,24797528
2021-01-22,24989303
2021-01-23,25167479
2021-01-24,25307624
2021-01-25,25437224
2021-01-26,25588233
2021-01-27,25743689
2021-01-28,25910453
2021-01-29,26074196
2021-01-30,26225136
2021-01-31,26337995
2021-02-01,26463310
2021-02-02,26580340
2021-02-03,26704712
2021-02-04,26829743
2021-02-05,26960854
2021-02-06,27077714
2021-02-07,27167143
2021-02-08,27249943
2021-02-09,27345324
2021-02-10,27440607
2021-02-11,27547379
2021-02-12,27647961
2021-02-13,27738719
2021-02-14,27807027
2021-02-15,27862476
2021-02-16,27921698
2021-02-17,27990543
2021-02-18,28063123
2021-02-19,28138281
2021-02-20,28212064
2021-02-21,28267329
2021-02-22,28322813
2021-02-23,28396673
2021-02-24,28471698
2021-02-25,28548977
2021-02-26,28624397
2021-02-27,28695687
2021-02-28,28747451
2021-03-01,28797891
2021-03-02,28856308
2021-03-03,28923359
2021-03-04,28992303
2021-03-05,29060182
2021-03-06,29121213
2021-03-07,29162824
2021-03-08,29206916
2021-03-09,29262419
2021-03-10,29320191
2021-03-11,29381983
2021-03-12,29444588
2021-03-13,29501408
2021-03-14,29540683
2021-03-15,29591717
2021-03-16,29645784
2021-03-17,29705059
2021-03-18,29767449
2021-03-19,29829081
2021-03-20,29887948
2021-03-21,29923326
2021-03-22,29970750
2021-03-23,30023608
2021-03-24,30111365
2021-03-25,30178992
2021-03-26,30255363
2021-03-27,30319418
2021-03-28,30365738
2021-03-29,30431610
2021-03-30,30493300
2021-03-31,30562831
2021-04-01,30639688
2021-04-02,30713713
2021-04-03,30778593
2021-04-04,30816515
2021-04-05,30883602
