ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,1
2020-03-02,6
2020-03-03,7
2020-03-04,11
2020-03-05,12
2020-03-06,14
2020-03-07,17
2020-03-08,21
2020-03-09,22
2020-03-10,28
2020-03-11,33
2020-03-12,43
2020-03-13,51
2020-03-14,58
2020-03-15,70
2020-03-16,97
2020-03-17,134
2020-03-18,194
2020-03-19,266
2020-03-20,372
2020-03-21,475
2020-03-22,603
2020-03-23,790
2020-03-24,1033
2020-03-25,1366
2020-03-26,1783
2020-03-27,2305
2020-03-28,3018
2020-03-29,3573
2020-03-30,4280
2020-03-31,5359
2020-04-01,6611
2020-04-02,8142
2020-04-03,9562
2020-04-04,11165
2020-04-05,12781
2020-04-06,14523
2020-04-07,17099
2020-04-08,19249
2020-04-09,21463
2020-04-10,23650
2020-04-11,25786
2020-04-12,27675
2020-04-13,29660
2020-04-14,32133
2020-04-15,34731
2020-04-16,36914
2020-04-17,39009
2020-04-18,40955
2020-04-19,42935
2020-04-20,45180
2020-04-21,47662
2020-04-22,50129
2020-04-23,52543
2020-04-24,54712
2020-04-25,56446
2020-04-26,57852
2020-04-27,59332
2020-04-28,61576
2020-04-29,63968
2020-04-30,66159
2020-05-01,68067
2020-05-02,69810
2020-05-03,71013
2020-05-04,72371
2020-05-05,74592
2020-05-06,76914
2020-05-07,78829
2020-05-08,80600
2020-05-09,82066
2020-05-10,83066
2020-05-11,84101
2020-05-12,85690
2020-05-13,87425
2020-05-14,89198
2020-05-15,90863
2020-05-16,92060
2020-05-17,92890
2020-05-18,94110
2020-05-19,95555
2020-05-20,97058
2020-05-21,98246
2020-05-22,99450
2020-05-23,100524
2020-05-24,101165
2020-05-25,101762
2020-05-26,102419
2020-05-27,103898
2020-05-28,104987
2020-05-29,106104
2020-05-30,107056
2020-05-31,107677
2020-06-01,108451
2020-06-02,109432
2020-06-03,110443
2020-06-04,111448
2020-06-05,112328
2020-06-06,112966
2020-06-07,113422
2020-06-08,113934
2020-06-09,114852
2020-06-10,115724
2020-06-11,116541
2020-06-12,117363
2020-06-13,118083
2020-06-14,118430
2020-06-15,118831
2020-06-16,119616
2020-06-17,120365
2020-06-18,121066
2020-06-19,121700
2020-06-20,122265
2020-06-21,122582
2020-06-22,122961
2020-06-23,123701
2020-06-24,124457
2020-06-25,125006
2020-06-26,125636
2020-06-27,126133
2020-06-28,126457
2020-06-29,126828
2020-06-30,127382
2020-07-01,128083
2020-07-02,128822
2020-07-03,129499
2020-07-04,129801
2020-07-05,130123
2020-07-06,130493
2020-07-07,131636
2020-07-08,132478
2020-07-09,133514
2020-07-10,134332
2020-07-11,135083
2020-07-12,135557
2020-07-13,135992
2020-07-14,136890
2020-07-15,137854
2020-07-16,138821
2020-07-17,139741
2020-07-18,140628
2020-07-19,141107
2020-07-20,141639
2020-07-21,142727
2020-07-22,143953
2020-07-23,145043
2020-07-24,146135
2020-07-25,147106
2020-07-26,147643
2020-07-27,148753
2020-07-28,149970
2020-07-29,151414
2020-07-30,152709
2020-07-31,153894
2020-08-01,155013
2020-08-02,155475
2020-08-03,156037
2020-08-04,157295
2020-08-05,158708
