ds,y
2020-01-27,1
2020-01-28,3
2020-01-29,0
2020-01-30,0
2020-01-31,1
2020-02-01,3
2020-02-02,2
2020-02-03,2
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,1
2020-02-08,0
2020-02-09,1
2020-02-10,0
2020-02-11,2
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,5
2020-02-27,5
2020-02-28,27
2020-02-29,13
2020-03-01,51
2020-03-02,33
2020-03-03,38
2020-03-04,52
2020-03-05,109
2020-03-06,185
2020-03-07,150
2020-03-08,163
2020-03-09,265
2020-03-10,184
2020-03-11,271
2020-03-12,802
2020-03-13,693
2020-03-14,733
2020-03-15,1043
2020-03-16,1174
2020-03-17,1144
2020-03-18,1042
2020-03-19,2801
2020-03-20,2958
2020-03-21,2705
2020-03-22,1948
2020-03-23,4062
2020-03-24,4764
2020-03-25,4118
2020-03-26,4954
2020-03-27,5780
2020-03-28,6294
2020-03-29,3965
2020-03-30,4751
2020-03-31,4615
2020-04-01,5453
2020-04-02,6156
2020-04-03,6174
2020-04-04,6082
2020-04-05,5936
2020-04-06,3677
2020-04-07,3834
2020-04-08,4003
2020-04-09,4974
2020-04-10,5323
2020-04-11,4133
2020-04-12,2821
2020-04-13,2537
2020-04-14,2082
2020-04-15,2486
2020-04-16,2866
2020-04-17,3380
2020-04-18,3609
2020-04-19,2458
2020-04-20,1775
2020-04-21,1785
2020-04-22,2237
2020-04-23,2352
2020-04-24,2337
2020-04-25,2055
2020-04-26,1737
2020-04-27,1018
2020-04-28,1144
2020-04-29,1304
2020-04-30,1478
2020-05-01,1639
2020-05-02,945
2020-05-03,793
2020-05-04,679
2020-05-05,685
2020-05-06,947
2020-05-07,1284
2020-05-08,1209
2020-05-09,1251
2020-05-10,667
2020-05-11,357
2020-05-12,933
2020-05-13,798
2020-05-14,933
2020-05-15,913
2020-05-16,620
2020-05-17,583
2020-05-18,342
2020-05-19,513
2020-05-20,797
2020-05-21,745
2020-05-22,460
2020-05-23,638
2020-05-24,431
2020-05-25,289
2020-05-26,432
2020-05-27,362
2020-05-28,353
2020-05-29,741
2020-05-30,738
2020-05-31,286
2020-06-01,333
2020-06-02,213
2020-06-03,342
2020-06-04,394
2020-06-05,507
2020-06-06,407
2020-06-07,301
2020-06-08,214
2020-06-09,350
