ds,y
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,2
2020-03-07,5
2020-03-08,7
2020-03-09,11
2020-03-10,7
2020-03-11,19
2020-03-12,1
2020-03-13,78
2020-03-14,62
2020-03-15,94
2020-03-16,53
2020-03-17,191
2020-03-18,90
2020-03-19,207
2020-03-20,213
2020-03-21,332
2020-03-22,397
2020-03-23,539
2020-03-24,497
2020-03-25,839
2020-03-26,718
2020-03-27,773
2020-03-28,844
2020-03-29,821
2020-03-30,913
2020-03-31,748
2020-04-01,923
2020-04-02,961
2020-04-03,850
2020-04-04,749
2020-04-05,694
2020-04-06,700
2020-04-07,704
2020-04-08,747
2020-04-09,655
2020-04-10,634
2020-04-11,525
2020-04-12,603
2020-04-13,547
2020-04-14,300
2020-04-15,652
2020-04-16,607
2020-04-17,687
2020-04-18,41
2020-04-19,410
2020-04-20,399
2020-04-21,430
2020-04-22,435
2020-04-23,440
2020-04-24,367
2020-04-25,378
2020-04-26,288
2020-04-27,331
2020-04-28,301
2020-04-29,453
2020-04-30,268
2020-05-01,0
2020-05-02,557
2020-05-03,164
2020-05-04,164
2020-05-05,185
2020-05-06,244
2020-05-07,213
2020-05-08,229
2020-05-09,179
2020-05-10,143
2020-05-11,123
2020-05-12,176
2020-05-13,184
2020-05-14,217
2020-05-15,138
2020-05-16,104
2020-05-17,0
2020-05-18,146
2020-05-19,69
2020-05-20,110
2020-05-21,52
2020-05-22,688
2020-05-23,50
2020-05-24,74
2020-05-26,283
2020-05-27,0
2020-05-28,2
2020-05-29,2
2020-05-30,4
2020-05-31,2
2020-06-01,0
2020-06-02,0
2020-06-03,1
2020-06-04,5
2020-06-05,1
2020-06-06,1
2020-06-07,1
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-20,7
2020-06-21,1
2020-06-22,1
2020-06-23,1
2020-06-24,2
2020-06-25,3
2020-06-26,8
2020-06-27,3
2020-06-28,2
2020-06-29,3
2020-06-30,9
2020-07-01,9
2020-07-02,4
2020-07-03,17
2020-07-04,0
2020-07-05,0
2020-07-06,3
2020-07-07,4
2020-07-08,4
2020-07-09,5
2020-07-10,2
2020-07-11,0
2020-07-12,0
2020-07-13,3
2020-07-14,3
2020-07-15,4
2020-07-16,3
2020-07-17,4
2020-07-18,0
2020-07-19,0
2020-07-20,2
2020-07-21,2
2020-07-22,2
2020-07-23,3
2020-07-24,3
2020-07-25,0
2020-07-26,0
2020-07-27,2
2020-07-28,2
2020-07-29,5
2020-07-30,2
2020-07-31,2
2020-08-01,0
2020-08-02,0
2020-08-03,27
2020-08-04,26
2020-08-05,1
2020-08-06,1
2020-08-07,3
2020-08-08,0
2020-08-09,0
2020-08-10,73
2020-08-11,5
2020-08-13,26
2020-08-14,12
2020-08-15,0
2020-08-16,0
2020-08-17,29
2020-08-18,24
2020-08-19,127
2020-08-20,16
2020-08-21,25
2020-08-22,0
2020-08-23,0
2020-08-24,34
2020-08-25,52
2020-08-26,47
2020-08-27,25
2020-08-28,15
2020-08-29,0
2020-08-30,0
2020-08-31,83
2020-09-01,58
2020-09-02,42
2020-09-03,40
2020-09-04,184
2020-09-05,0
2020-09-06,0
2020-09-07,98
2020-09-08,78
2020-09-09,34
2020-09-10,71
2020-09-11,48
2020-09-12,0
2020-09-13,0
2020-09-14,101
2020-09-15,156
2020-09-16,239
2020-09-17,162
2020-09-18,90
2020-09-19,0
2020-09-20,0
2020-09-21,168
2020-09-22,241
2020-09-23,130
2020-09-24,84
2020-09-25,114
2020-09-26,0
2020-09-27,0
2020-09-28,179
2020-09-29,0
2020-09-30,380
2020-10-01,182
2020-10-02,113
2020-10-03,0
2020-10-04,0
2020-10-05,139
2020-10-06,261
2020-10-07,76
2020-10-08,126
2020-10-09,241
2020-10-10,0
2020-10-11,0
2020-10-12,195
2020-10-13,80
2020-10-14,209
2020-10-15,140
2020-10-16,222
2020-10-17,0
2020-10-18,0
2020-10-19,217
2020-10-20,218
2020-10-21,156
2020-10-22,155
2020-10-23,231
2020-10-24,0
2020-10-25,0
2020-10-26,279
2020-10-27,267
2020-10-28,168
2020-10-29,173
2020-10-30,239
2020-10-31,0
2020-11-01,0
2020-11-02,379
2020-11-03,238
2020-11-04,1623
2020-11-05,368
2020-11-06,347
2020-11-07,0
2020-11-08,0
2020-11-09,512
2020-11-10,0
2020-11-11,760
2020-11-12,356
2020-11-13,308
2020-11-14,0
2020-11-15,0
2020-11-16,484
2020-11-17,435
2020-11-18,351
2020-11-19,252
2020-11-20,328
2020-11-21,0
2020-11-22,0
2020-11-23,512
2020-11-24,537
2020-11-25,369
2020-11-26,337
2020-11-27,294
2020-11-28,0
2020-11-29,0
2020-11-30,401
2020-12-01,442
2020-12-02,273
2020-12-03,254
2020-12-04,214
2020-12-05,0
2020-12-06,0
2020-12-07,394
2020-12-08,0
2020-12-09,373
2020-12-10,325
2020-12-11,280
2020-12-12,0
2020-12-13,0
2020-12-14,389
2020-12-15,388
2020-12-16,195
2020-12-17,181
2020-12-18,149
