ds,y
2020-01-24,2
2020-01-25,1
2020-01-26,0
2020-01-27,0
2020-01-28,1
2020-01-29,1
2020-01-30,0
2020-01-31,0
2020-02-01,1
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,5
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,1
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,2
2020-02-26,4
2020-02-27,20
2020-02-28,19
2020-02-29,43
2020-03-01,30
2020-03-02,61
2020-03-03,21
2020-03-04,76
2020-03-05,138
2020-03-06,190
2020-03-07,332
2020-03-08,177
2020-03-09,286
2020-03-10,372
2020-03-11,510
2020-03-12,0
2020-03-13,1385
2020-03-14,815
2020-03-15,36
2020-03-16,2151
2020-03-17,1032
2020-03-18,1409
2020-03-19,1841
2020-03-20,1783
2020-03-21,1699
2020-03-22,2295
2020-03-23,3355
2020-03-24,2243
2020-03-25,2955
2020-03-26,3916
2020-03-27,3792
2020-03-28,4648
2020-03-29,2603
2020-03-30,4343
2020-03-31,7635
2020-04-01,4843
2020-04-02,2100
2020-04-03,5223
2020-04-05,846
2020-04-06,2658
2020-04-08,3851
2020-04-09,3784
2020-04-10,1566
2020-04-11,1445
2020-04-12,50745
2020-04-13,3139
2020-04-14,17448
2020-04-15,3207
2020-04-16,12578
2020-04-17,1891
2020-04-18,3804
2020-04-19,1094
2020-04-20,2446
2020-04-21,2666
2020-04-22,1798
2020-04-24,2811
2020-04-25,1678
2020-04-26,633
2020-04-27,3686
2020-04-28,3131
2020-04-30,1218
2020-05-01,526
2020-05-02,792
2020-05-03,361
2020-05-04,562
2020-05-05,1115
2020-05-06,4136
2020-05-07,741
2020-05-08,531
2020-05-09,528
2020-05-10,249
2020-05-11,315
2020-05-12,753
2020-05-13,521
2020-05-14,642
2020-05-15,513
2020-05-16,415
2020-05-17,140
2020-05-18,444
2020-05-19,501
2020-05-20,481
2020-05-21,267
2020-05-22,756
2020-05-23,546
2020-05-25,325
2020-05-26,255
2020-05-27,173
2020-05-28,3342
2020-05-29,594
2020-05-30,1794
2020-05-31,232
2020-06-01,406
2020-06-04,4360
2020-06-05,581
2020-06-06,572
2020-06-07,341
2020-06-08,274
2020-06-09,552
2020-06-10,625
2020-06-11,364
2020-06-12,801
2020-06-13,497
