ds,y
2020-02-15,1
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,1
2020-03-04,0
2020-03-05,3
2020-03-06,2
2020-03-07,7
2020-03-08,3
2020-03-09,6
2020-03-10,8
2020-03-11,15
2020-03-12,0
2020-03-13,31
2020-03-14,12
2020-03-15,0
2020-03-16,58
2020-03-17,0
2020-03-18,0
2020-03-19,95
2020-03-20,207
2020-03-21,112
2020-03-22,113
2020-03-23,186
2020-03-24,240
2020-03-25,231
2020-03-26,364
2020-03-27,299
2020-03-28,318
2020-03-29,294
2020-03-30,417
2020-03-31,501
2020-04-01,1253
2020-04-02,609
2020-04-03,1122
2020-04-04,1052
2020-04-05,519
2020-04-06,833
2020-04-07,1416
2020-04-08,544
2020-04-09,1340
2020-04-10,985
2020-04-11,636
2020-04-12,561
2020-04-13,573
2020-04-14,743
2020-04-15,1438
2020-04-16,753
2020-04-17,761
2020-04-18,641
2020-04-19,389
2020-04-20,547
2020-04-21,528
2020-04-22,544
2020-04-23,516
2020-04-24,389
2020-04-25,369
2020-04-26,243
2020-04-27,437
2020-04-28,367
2020-04-29,426
2020-04-30,289
2020-05-01,217
2020-05-02,197
2020-05-03,135
2020-05-04,306
2020-05-05,333
2020-05-06,275
2020-05-07,179
2020-05-08,242
2020-05-09,80
2020-05-10,70
2020-05-11,263
2020-05-12,348
2020-05-13,85
2020-05-14,351
2020-05-15,102
2020-05-16,98
2020-05-17,483
2020-05-18,129
2020-05-20,111
2020-05-21,82
2020-05-22,148
2020-05-23,86
2020-05-25,89
2020-05-26,137
2020-05-27,1
2020-05-28,67
2020-05-29,51
2020-05-30,57
2020-05-31,31
2020-06-01,32
2020-06-02,106
2020-06-03,81
2020-06-04,45
2020-06-05,45
2020-06-06,31
2020-06-07,13
2020-06-08,55
2020-06-09,88
2020-06-10,21
2020-06-11,27
2020-06-12,28
2020-06-13,24
2020-06-14,10
2020-06-15,28
2020-06-16,114
2020-06-17,25
2020-06-18,28
2020-06-19,14
2020-06-20,18
2020-06-21,6
2020-06-22,24
2020-06-23,54
2020-06-24,13
2020-06-25,19
2020-06-26,26
2020-06-27,1
2020-06-28,0
2020-06-29,35
