ds,y
2020-03-11,1
2020-03-12,0
2020-03-13,1
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,1
2020-03-18,0
2020-03-19,1
2020-03-20,1
2020-03-22,3
2020-03-23,3
2020-03-24,0
2020-03-25,2
2020-03-26,8
2020-03-27,0
2020-03-28,4
2020-03-29,3
2020-03-30,5
2020-03-31,3
2020-04-01,23
2020-04-02,14
2020-04-03,0
2020-04-04,14
2020-04-05,13
2020-04-06,37
2020-04-07,14
2020-04-08,28
2020-04-09,48
2020-04-10,20
2020-04-11,42
2020-04-12,43
2020-04-13,27
2020-04-14,35
2020-04-15,12
2020-04-16,43
2020-04-17,38
2020-04-18,35
2020-04-19,38
2020-04-20,33
2020-04-21,53
2020-04-22,36
2020-04-23,40
2020-04-24,59
2020-04-25,45
2020-04-26,56
2020-04-27,58
2020-04-28,69
2020-04-29,71
2020-04-30,75
2020-05-01,69
2020-05-02,100
2020-05-03,68
2020-05-04,175
2020-05-05,127
2020-05-06,92
2020-05-07,104
2020-05-08,96
2020-05-09,116
2020-05-10,111
2020-05-11,82
2020-05-12,121
2020-05-13,136
2020-05-14,98
2020-05-15,104
2020-05-16,118
2020-05-17,154
2020-05-18,131
2020-05-19,146
2020-05-20,132
2020-05-21,150
2020-05-22,142
2020-05-23,142
2020-05-24,156
2020-05-25,148
2020-05-26,172
2020-05-27,190
2020-05-28,177
2020-05-29,269
2020-05-30,205
2020-05-31,223
2020-06-01,200
2020-06-02,221
2020-06-03,259
2020-06-04,275
2020-06-05,286
2020-06-06,297
2020-06-07,261
2020-06-08,266
2020-06-09,277
2020-06-10,352
2020-06-11,396
2020-06-12,386
2020-06-13,311
2020-06-14,325
2020-06-15,380
2020-06-16,2003
2020-06-17,334
2020-06-18,336
2020-06-19,375
2020-06-20,306
2020-06-21,445
2020-06-22,312
2020-06-23,465
2020-06-24,418
2020-06-25,407
2020-06-26,384
2020-06-27,410
2020-06-28,380
2020-06-29,418
2020-06-30,507
2020-07-01,434
2020-07-02,379
2020-07-03,442
2020-07-04,613
2020-07-05,425
2020-07-06,466
2020-07-07,483
2020-07-08,487
2020-07-09,475
2020-07-10,519
2020-07-11,550
2020-07-12,501
2020-07-13,553
2020-07-14,582
2020-07-15,605
2020-07-16,688
2020-07-17,671
2020-07-18,543
2020-07-19,681
2020-07-20,585
2020-07-21,650
2020-07-22,1129
2020-07-23,740
2020-07-24,757
2020-07-25,702
2020-07-26,711
2020-07-27,637
2020-07-28,785
2020-07-29,762
2020-07-30,763
2020-07-31,793
2020-08-01,853
2020-08-02,771
2020-08-03,803
2020-08-04,857
2020-08-05,904
2020-08-06,886
2020-08-07,933
2020-08-08,861
2020-08-09,1007
2020-08-10,871
2020-08-11,834
2020-08-12,942
2020-08-13,1007
2020-08-14,996
2020-08-15,944
2020-08-16,941
2020-08-17,876
2020-08-18,1091
2020-08-19,978
2020-08-20,983
2020-08-21,945
2020-08-22,912
2020-08-23,836
2020-08-24,848
2020-08-25,967
2020-08-26,1115
2020-08-27,1057
2020-08-28,1021
2020-08-29,948
2020-08-30,971
2020-08-31,819
2020-09-01,1045
2020-09-02,1043
2020-09-03,1096
2020-09-04,1089
2020-09-05,1065
2020-09-06,1016
2020-09-07,1133
2020-09-08,1115
2020-09-09,1172
2020-09-10,1209
2020-09-11,1201
2020-09-12,1114
2020-09-13,1136
2020-09-14,1054
2020-09-15,1290
2020-09-16,1132
2020-09-17,1174
2020-09-18,1247
2020-09-19,1133
2020-09-20,1130
2020-09-21,1053
2020-09-22,1085
2020-09-23,1129
2020-09-24,1141
2020-09-25,1089
2020-09-26,1124
2020-09-27,1039
2020-09-28,776
2020-09-29,1179
2020-09-30,1181
2020-10-01,1095
2020-10-02,1069
2020-10-03,940
2020-10-04,903
2020-10-05,884
2020-10-06,986
2020-10-07,971
2020-10-08,964
2020-10-09,926
2020-10-10,918
2020-10-11,816
2020-10-12,706
2020-10-13,730
2020-10-14,680
2020-10-15,895
2020-10-16,837
2020-10-17,1033
2020-10-18,579
2020-10-19,587
2020-10-20,717
2020-10-21,702
2020-10-22,690
2020-10-23,650
2020-10-24,578
2020-10-25,480
2020-10-26,488
2020-10-27,508
2020-10-28,517
2020-10-29,563
2020-10-30,551
2020-10-31,470
2020-11-01,496
2020-11-02,490
2020-11-03,514
2020-11-04,704
2020-11-05,670
2020-11-06,577
2020-11-07,559
2020-11-08,490
2020-11-09,448
2020-11-10,512
2020-11-11,550
2020-11-12,547
2020-11-13,520
2020-11-14,447
2020-11-15,435
2020-11-16,449
2020-11-17,474
2020-11-18,585
2020-11-19,584
2020-11-20,564
2020-11-21,501
2020-11-22,511
2020-11-23,480
2020-11-24,481
2020-11-25,524
2020-11-26,492
2020-11-27,485
2020-11-28,496
2020-11-29,443
2020-11-30,482
2020-12-01,501
2020-12-02,526
2020-12-03,540
2020-12-04,512
2020-12-05,482
2020-12-06,391
2020-12-07,385
2020-12-08,402
2020-12-09,412
2020-12-10,413
2020-12-11,443
2020-12-12,391
2020-12-13,336
2020-12-14,354
2020-12-15,387
2020-12-16,355
2020-12-17,338
2020-12-18,347
2020-12-19,341
2020-12-20,333
2020-12-21,301
2020-12-22,333
2020-12-23,312
2020-12-24,336
2020-12-25,251
2020-12-26,279
2020-12-27,279
2020-12-28,252
2020-12-29,286
2020-12-30,299
2020-12-31,256
2021-01-01,224
2021-01-02,217
2021-01-03,214
2021-01-04,201
2021-01-05,264
2021-01-06,222
2021-01-07,234
2021-01-08,0
2021-01-09,429
2021-01-10,161
2021-01-11,167
2021-01-12,202
2021-01-13,198
2021-01-14,191
2021-01-15,175
2021-01-16,181
2021-01-17,145
2021-01-18,137
2021-01-19,162
2021-01-20,151
2021-01-21,163
2021-01-22,152
2021-01-23,155
2021-01-24,131
2021-01-25,117
2021-01-26,137
2021-01-27,123
2021-01-28,163
2021-01-29,137
2021-01-30,127
2021-01-31,118
2021-02-01,94
2021-02-02,110
2021-02-03,107
2021-02-04,120
2021-02-05,95
2021-02-06,78
2021-02-07,84
2021-02-08,78
2021-02-09,94
2021-02-10,108
2021-02-11,87
2021-02-12,103
2021-02-13,92
2021-02-14,90
2021-02-15,81
2021-02-16,100
2021-02-17,101
2021-02-18,97
2021-02-19,101
2021-02-20,90
2021-02-21,83
2021-02-22,78
2021-02-23,104
2021-02-24,138
2021-02-25,120
2021-02-26,113
2021-02-27,113
2021-02-28,106
2021-03-01,91
2021-03-02,98
2021-03-03,89
2021-03-04,113
2021-03-05,108
2021-03-06,100
2021-03-07,97
2021-03-08,77
2021-03-09,133
2021-03-10,126
2021-03-11,117
2021-03-12,140
2021-03-13,161
2021-03-14,118
