ds,y
2020-01-31,2
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,1
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,17
2020-02-22,42
2020-02-23,93
2020-02-24,74
2020-02-25,93
2020-02-26,131
2020-02-27,202
2020-02-28,233
2020-02-29,240
2020-03-01,566
2020-03-02,342
2020-03-03,466
2020-03-04,587
2020-03-05,769
2020-03-06,778
2020-03-07,1247
2020-03-08,1492
2020-03-09,1797
2020-03-10,977
2020-03-11,2313
2020-03-12,2651
2020-03-13,2547
2020-03-14,3497
2020-03-15,3590
2020-03-16,3233
2020-03-17,3526
2020-03-18,4207
2020-03-19,5322
2020-03-20,5986
2020-03-21,6557
2020-03-22,5560
2020-03-23,4789
2020-03-24,5249
2020-03-25,5210
2020-03-26,6203
2020-03-27,5909
2020-03-28,5974
2020-03-29,5217
2020-03-30,4050
2020-03-31,4053
2020-04-01,4782
2020-04-02,4668
2020-04-03,4585
2020-04-04,4805
2020-04-05,4316
2020-04-06,3599
2020-04-07,3039
2020-04-08,3836
2020-04-09,4204
2020-04-10,3951
2020-04-11,4694
2020-04-12,4092
2020-04-13,3153
2020-04-14,2972
2020-04-15,2667
2020-04-16,3786
2020-04-17,3493
2020-04-18,3491
2020-04-19,3047
2020-04-20,2256
2020-04-21,2729
2020-04-22,3370
2020-04-23,2646
2020-04-24,3021
2020-04-25,2357
2020-04-26,2324
2020-04-27,1739
2020-04-28,2091
2020-04-29,2086
2020-04-30,1872
2020-05-01,1965
2020-05-02,1900
2020-05-03,1389
2020-05-04,1221
2020-05-05,1075
2020-05-06,1444
2020-05-07,1401
2020-05-08,1327
2020-05-09,1083
2020-05-10,802
2020-05-11,744
2020-05-12,1402
2020-05-13,888
2020-05-14,992
2020-05-15,789
2020-05-16,875
2020-05-17,675
2020-05-18,451
2020-05-19,813
2020-05-20,665
2020-05-21,642
2020-05-22,652
2020-05-23,669
2020-05-24,531
2020-05-25,300
2020-05-26,397
2020-05-27,584
2020-05-28,593
2020-05-29,516
2020-05-30,416
2020-05-31,333
2020-06-01,200
2020-06-02,318
2020-06-03,321
2020-06-04,177
2020-06-05,518
2020-06-06,270
2020-06-07,197
2020-06-08,280
2020-06-09,283
2020-06-10,202
2020-06-11,379
2020-06-12,163
2020-06-13,346
2020-06-14,338
2020-06-15,301
2020-06-16,210
2020-06-17,328
2020-06-18,331
2020-06-20,264
2020-06-21,224
2020-06-22,221
2020-06-23,113
2020-06-24,577
2020-06-25,296
2020-06-26,255
2020-06-27,175
2020-06-28,174
2020-06-29,126
2020-06-30,142
2020-07-01,182
2020-07-02,201
2020-07-03,223
2020-07-04,235
2020-07-05,192
2020-07-06,208
2020-07-07,137
2020-07-08,193
2020-07-09,214
2020-07-10,276
2020-07-11,188
2020-07-12,234
2020-07-13,169
2020-07-14,114
2020-07-15,162
2020-07-16,230
2020-07-17,231
2020-07-18,249
2020-07-19,218
2020-07-20,190
2020-07-21,128
2020-07-22,280
2020-07-23,306
2020-07-24,252
2020-07-25,274
2020-07-26,254
2020-07-27,168
2020-07-28,202
2020-07-29,288
2020-07-30,382
2020-07-31,379
2020-08-01,295
2020-08-02,238
2020-08-03,159
2020-08-04,190
2020-08-05,384
2020-08-06,401
2020-08-07,552
2020-08-08,347
2020-08-09,463
2020-08-10,259
2020-08-11,412
2020-08-12,476
2020-08-13,522
2020-08-14,574
2020-08-15,629
2020-08-16,477
2020-08-17,320
2020-08-18,401
2020-08-19,642
2020-08-20,840
2020-08-21,947
2020-08-22,1071
2020-08-23,1209
2020-08-24,953
2020-08-25,876
2020-08-26,1366
2020-08-27,1409
2020-08-28,1460
2020-08-29,1444
2020-08-30,1365
2020-08-31,996
2020-09-01,975
2020-09-02,1326
2020-09-03,1397
2020-09-04,1732
2020-09-05,1694
2020-09-06,1296
2020-09-07,1150
2020-09-08,1369
2020-09-09,1430
2020-09-10,1597
2020-09-11,1616
2020-09-12,1501
2020-09-13,1456
2020-09-14,1008
2020-09-15,1229
2020-09-16,1452
2020-09-17,1583
2020-09-18,1907
2020-09-19,1637
2020-09-20,1587
2020-09-21,1350
2020-09-22,1391
2020-09-23,1640
2020-09-24,1786
2020-09-25,1912
2020-09-26,1869
2020-09-27,1766
2020-09-28,1494
2020-09-29,1647
2020-09-30,1850
2020-10-01,2548
2020-10-02,2499
2020-10-03,2843
2020-10-04,2578
2020-10-05,2257
2020-10-06,2677
2020-10-07,3677
2020-10-08,4458
2020-10-09,5372
2020-10-10,5724
2020-10-11,5456
2020-10-12,4619
2020-10-13,5898
2020-10-14,7332
2020-10-15,8803
2020-10-16,10009
2020-10-17,10925
2020-10-18,11705
2020-10-19,9337
2020-10-20,10871
2020-10-21,15199
2020-10-22,16078
2020-10-23,19143
2020-10-24,19640
2020-10-25,21273
2020-10-26,17007
2020-10-27,21989
2020-10-28,24988
2020-10-29,26829
2020-10-30,31079
2020-10-31,31756
2020-11-01,29905
2020-11-02,22253
2020-11-03,28241
2020-11-04,30548
2020-11-05,34502
2020-11-06,37802
2020-11-07,39809
2020-11-08,32614
2020-11-09,25269
2020-11-10,35090
2020-11-11,32961
2020-11-12,37977
2020-11-13,40902
2020-11-14,37249
2020-11-15,33977
2020-11-16,27352
2020-11-17,32191
2020-11-18,34280
2020-11-19,36176
2020-11-20,37239
2020-11-21,34764
2020-11-22,28337
2020-11-23,22927
2020-11-24,23227
2020-11-25,25852
2020-11-26,29001
2020-11-27,28342
2020-11-28,26315
2020-11-29,20646
2020-11-30,16376
2020-12-01,19347
2020-12-02,20709
2020-12-03,23219
2020-12-04,24110
2020-12-05,21052
2020-12-06,18887
2020-12-07,13679
2020-12-08,14837
2020-12-09,12755
2020-12-10,16998
2020-12-11,18726
2020-12-12,19902
2020-12-13,17937
2020-12-14,12025
2020-12-15,14839
2020-12-16,17568
2020-12-17,18233
2020-12-18,15401
2020-12-19,16305
2020-12-20,15102
2020-12-21,10869
2020-12-22,13316
2020-12-23,13908
2020-12-24,18039
2020-12-25,19037
2020-12-26,10405
2020-12-27,8937
2020-12-28,8581
2020-12-29,11210
2020-12-30,16202
2020-12-31,23477
2021-01-01,22210
2021-01-02,11825
2021-01-03,14245
2021-01-04,10798
2021-01-05,15375
2021-01-06,20326
2021-01-07,18416
2021-01-08,17529
2021-01-09,19976
2021-01-10,18625
2021-01-11,12530
2021-01-12,14242
2021-01-13,15773
2021-01-14,17243
2021-01-15,16144
2021-01-16,16310
2021-01-17,12544
2021-01-18,8825
