ds,y
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,4
2020-02-25,3
2020-02-26,2
2020-02-27,5
2020-02-28,4
2020-02-29,8
2020-03-01,5
2020-03-02,18
2020-03-03,27
2020-03-04,28
2020-03-05,41
2020-03-06,49
2020-03-07,36
2020-03-08,133
2020-03-09,97
2020-03-10,168
2020-03-11,196
2020-03-12,189
2020-03-13,250
2020-03-14,175
2020-03-15,368
2020-03-16,349
2020-03-17,345
2020-03-18,475
2020-03-19,427
2020-03-20,627
2020-03-21,793
2020-03-22,651
2020-03-23,601
2020-03-24,743
2020-03-25,683
2020-03-26,712
2020-03-27,919
2020-03-28,889
2020-03-29,756
2020-03-30,812
2020-03-31,837
2020-04-01,727
2020-04-02,760
2020-04-03,766
2020-04-04,681
2020-04-05,525
2020-04-06,636
2020-04-07,604
2020-04-08,542
2020-04-09,610
2020-04-10,570
2020-04-11,619
2020-04-12,431
2020-04-13,566
2020-04-14,602
2020-04-15,578
2020-04-16,525
2020-04-17,575
2020-04-18,482
2020-04-19,433
2020-04-20,454
2020-04-21,534
2020-04-22,437
2020-04-23,464
2020-04-24,420
2020-04-25,415
2020-04-26,260
2020-04-27,333
2020-04-28,382
2020-04-29,323
2020-04-30,285
2020-05-01,269
2020-05-02,474
2020-05-03,174
2020-05-04,195
2020-05-05,236
2020-05-06,369
2020-05-07,274
2020-05-08,243
2020-05-09,194
2020-05-10,165
2020-05-11,179
2020-05-12,172
2020-05-13,195
2020-05-14,262
2020-05-15,242
2020-05-16,153
2020-05-17,145
2020-05-18,99
2020-05-19,162
2020-05-20,161
2020-05-21,156
2020-05-22,130
2020-05-23,119
2020-05-24,50
2020-05-25,92
2020-05-26,78
2020-05-27,117
2020-05-28,70
2020-05-29,87
2020-05-30,111
2020-05-31,75
2020-06-01,60
2020-06-02,55
2020-06-03,71
2020-06-04,88
2020-06-05,85
2020-06-06,72
2020-06-07,53
2020-06-08,65
2020-06-09,79
2020-06-10,71
2020-06-11,53
2020-06-12,56
2020-06-13,78
