ds,y
2020-01-31,2
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,9
2020-03-07,0
2020-03-08,4
2020-03-09,0
2020-03-10,3
2020-03-11,0
2020-03-12,8
2020-03-13,17
2020-03-14,14
2020-03-15,4
2020-03-16,27
2020-03-17,24
2020-03-18,33
2020-03-19,52
2020-03-20,54
2020-03-21,53
2020-03-22,61
2020-03-23,71
2020-03-24,57
2020-03-25,163
2020-03-26,182
2020-03-27,196
2020-03-28,228
2020-03-29,270
2020-03-30,302
2020-03-31,501
2020-04-01,440
2020-04-02,771
2020-04-03,601
2020-04-04,582
2020-04-05,658
2020-04-06,954
2020-04-07,1154
2020-04-08,1175
2020-04-09,1459
2020-04-10,1786
2020-04-11,1667
2020-04-12,2186
2020-04-13,2558
2020-04-14,2774
2020-04-15,3388
2020-04-16,3448
2020-04-17,4070
2020-04-18,4785
2020-04-19,6060
2020-04-20,4268
2020-04-21,5642
2020-04-22,5236
2020-04-23,4774
2020-04-24,5849
2020-04-25,5966
2020-04-26,6361
2020-04-27,6198
2020-04-28,6411
2020-04-29,5841
2020-04-30,7099
2020-05-01,7933
2020-05-02,9623
2020-05-03,10633
2020-05-04,10581
2020-05-05,10102
2020-05-06,10559
2020-05-07,11231
2020-05-08,10699
2020-05-09,10817
2020-05-10,11012
2020-05-11,11656
2020-05-12,10899
2020-05-13,10028
2020-05-14,9974
2020-05-15,10598
2020-05-16,9200
2020-05-17,9709
2020-05-18,8926
2020-05-19,9263
2020-05-20,8764
2020-05-21,8849
2020-05-22,8894
2020-05-23,9434
2020-05-24,8599
2020-05-25,8946
2020-05-26,8915
2020-05-27,8338
2020-05-28,8371
2020-05-29,8572
2020-05-30,8952
2020-05-31,9268
2020-06-01,8485
2020-06-02,8858
2020-06-03,8529
2020-06-04,8823
2020-06-05,8718
2020-06-06,8846
2020-06-07,8971
2020-06-08,8970
2020-06-09,8587
2020-06-10,8393
2020-06-11,8777
2020-06-12,8961
2020-06-13,8697
2020-06-14,8809
2020-06-15,8217
2020-06-16,8241
2020-06-17,7824
2020-06-18,7772
2020-06-19,7971
2020-06-20,7870
2020-06-21,7717
2020-06-22,7586
2020-06-23,7413
2020-06-24,7165
2020-06-25,7105
2020-06-26,6788
2020-06-27,6843
2020-06-28,6784
2020-06-29,6683
2020-06-30,6683
2020-07-01,6550
2020-07-02,6752
2020-07-03,6710
2020-07-04,6623
2020-07-05,6719
2020-07-06,6569
2020-07-07,6363
2020-07-08,6534
2020-07-09,6491
2020-07-10,6623
2020-07-11,6586
2020-07-12,6587
2020-07-13,6511
2020-07-14,6240
2020-07-15,6410
2020-07-16,6415
2020-07-17,6389
2020-07-18,6214
2020-07-19,6096
2020-07-20,5901
2020-07-21,5828
2020-07-22,5850
2020-07-23,5830
2020-07-24,5779
2020-07-25,5833
2020-07-26,5741
2020-07-27,5607
2020-07-28,5380
2020-07-29,5449
2020-07-30,5484
2020-07-31,5468
2020-08-01,5429
2020-08-02,5387
2020-08-03,5364
2020-08-04,5121
2020-08-05,5186
2020-08-06,5239
2020-08-07,5191
2020-08-08,5185
2020-08-09,5155
2020-08-10,5081
2020-08-11,4892
2020-08-12,5054
2020-08-13,5017
2020-08-14,5016
2020-08-15,5030
2020-08-16,4911
2020-08-17,4839
2020-08-18,4718
2020-08-19,4790
2020-08-20,4767
2020-08-21,4838
2020-08-22,4860
2020-08-23,4797
2020-08-24,4688
2020-08-25,4639
2020-08-26,4642
2020-08-27,4675
2020-08-28,4758
2020-08-29,4843
2020-08-30,4897
2020-08-31,4932
2020-09-01,4670
2020-09-02,4893
2020-09-03,4958
2020-09-04,5064
2020-09-05,5144
2020-09-06,5097
2020-09-07,5106
2020-09-08,5020
2020-09-09,5172
2020-09-10,5310
2020-09-11,5421
2020-09-12,5406
2020-09-13,5361
2020-09-14,5414
2020-09-15,5435
2020-09-16,5612
2020-09-17,5667
2020-09-18,5803
2020-09-19,5960
2020-09-20,6043
2020-09-21,6090
2020-09-22,6109
2020-09-23,6330
2020-09-24,6489
2020-09-25,7112
2020-09-26,7421
2020-09-27,7764
2020-09-28,8026
2020-09-29,8129
2020-09-30,8371
2020-10-01,8835
2020-10-02,9294
2020-10-03,9735
2020-10-04,10376
2020-10-05,10757
2020-10-06,11481
2020-10-07,10981
2020-10-08,11345
2020-10-09,11969
2020-10-10,12673
2020-10-11,13442
2020-10-12,13406
2020-10-13,13690
2020-10-14,14041
2020-10-15,13556
2020-10-16,14937
2020-10-17,14703
2020-10-18,14804
2020-10-19,15843
2020-10-20,16108
2020-10-21,15444
2020-10-22,15704
2020-10-23,17077
2020-10-24,16260
2020-10-25,16392
2020-10-26,17148
2020-10-27,16342
2020-10-28,15886
2020-10-29,17418
2020-10-30,17987
2020-10-31,17834
2020-11-01,18381
2020-11-02,18017
2020-11-03,18431
2020-11-04,19483
2020-11-05,19116
2020-11-06,20368
2020-11-07,20109
2020-11-08,20248
2020-11-09,21577
2020-11-10,20765
2020-11-11,19583
2020-11-12,21333
2020-11-13,21717
2020-11-14,22441
2020-11-15,22313
2020-11-16,22562
2020-11-17,22201
2020-11-18,20717
2020-11-19,23337
2020-11-20,24059
2020-11-21,24538
2020-11-22,24295
2020-11-23,24891
2020-11-24,24087
2020-11-25,23393
2020-11-26,25195
2020-11-27,27267
2020-11-28,26809
2020-11-29,26390
2020-11-30,26046
2020-12-01,26126
2020-12-02,25043
2020-12-03,27829
2020-12-04,27078
2020-12-05,28450
2020-12-06,28701
2020-12-07,27798
2020-12-08,25752
2020-12-09,25838
2020-12-10,27562
2020-12-11,28206
2020-12-12,27729
2020-12-13,27651
2020-12-14,26902
2020-12-15,26265
2020-12-16,26074
2020-12-17,27787
2020-12-18,28116
2020-12-19,27772
2020-12-20,28510
2020-12-21,28917
2020-12-22,28340
2020-12-23,26814
2020-12-24,29499
2020-12-25,28595
2020-12-26,28833
2020-12-27,27849
2020-12-28,27363
2020-12-29,26588
2020-12-30,26095
2020-12-31,27329
2021-01-01,26613
2021-01-02,25938
2021-01-03,23845
2021-01-04,23015
2021-01-05,23955
2021-01-06,23902
2021-01-07,23218
2021-01-08,23330
2021-01-09,23012
