ds,y
2020-03-19,1
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,2
2020-03-26,0
2020-03-27,1
2020-03-28,0
2020-03-29,4
2020-03-30,1
2020-03-31,8
2020-04-01,7
2020-04-02,6
2020-04-03,4
2020-04-04,9
2020-04-05,2
2020-04-06,2
2020-04-07,11
2020-04-08,5
2020-04-09,13
2020-04-10,18
2020-04-11,12
2020-04-12,24
2020-04-13,18
2020-04-14,22
2020-04-15,28
2020-04-16,34
2020-04-17,41
2020-04-18,40
2020-04-19,48
2020-04-20,44
2020-04-21,51
2020-04-22,57
2020-04-23,42
2020-04-24,60
2020-04-25,66
2020-04-26,66
2020-04-27,47
2020-04-28,73
2020-04-29,105
2020-04-30,101
2020-05-01,96
2020-05-02,53
2020-05-03,58
2020-05-04,76
2020-05-05,95
2020-05-06,86
2020-05-07,88
2020-05-08,98
2020-05-09,104
2020-05-10,88
2020-05-11,94
2020-05-12,107
2020-05-13,96
2020-05-14,93
2020-05-15,113
2020-05-16,119
2020-05-17,94
2020-05-18,91
2020-05-19,115
2020-05-20,135
2020-05-21,127
2020-05-22,150
2020-05-23,139
2020-05-24,153
2020-05-25,92
2020-05-26,174
2020-05-27,161
2020-05-28,174
2020-05-29,232
2020-05-30,181
2020-05-31,138
2020-06-01,156
2020-06-02,182
2020-06-03,177
2020-06-04,168
2020-06-05,144
2020-06-06,197
2020-06-07,134
2020-06-08,112
2020-06-09,171
2020-06-10,216
2020-06-11,172
2020-06-12,183
2020-06-13,114
2020-06-14,119
2020-06-15,143
2020-06-16,193
2020-06-17,194
2020-06-18,182
2020-06-19,181
2020-06-20,161
2020-06-21,109
2020-06-22,95
2020-06-23,153
2020-06-24,154
2020-06-25,91
2020-06-26,176
2020-06-27,188
2020-06-28,102
2020-06-29,92
2020-06-30,154
2020-07-01,215
2020-07-02,147
2020-07-03,176
2020-07-04,167
2020-07-05,134
2020-07-06,135
2020-07-07,198
2020-07-08,172
2020-07-09,176
2020-07-10,174
2020-07-11,188
2020-07-12,130
2020-07-13,104
2020-07-14,175
2020-07-15,156
2020-07-16,167
2020-07-17,186
2020-07-18,122
2020-07-19,95
2020-07-20,85
2020-07-21,153
2020-07-22,165
2020-07-23,147
2020-07-24,153
2020-07-25,146
2020-07-26,77
2020-07-27,85
2020-07-28,149
2020-07-29,167
2020-07-30,128
2020-07-31,161
2020-08-01,95
2020-08-02,70
2020-08-03,79
2020-08-04,144
2020-08-05,138
2020-08-06,114
2020-08-07,119
2020-08-08,129
2020-08-09,76
2020-08-10,70
2020-08-11,130
2020-08-12,128
2020-08-13,122
2020-08-14,114
2020-08-15,118
2020-08-16,68
2020-08-17,54
2020-08-18,129
2020-08-19,115
2020-08-20,107
2020-08-21,90
2020-08-22,120
2020-08-23,73
2020-08-24,65
2020-08-25,118
2020-08-26,114
2020-08-27,120
2020-08-28,108
2020-08-29,111
2020-08-30,68
2020-08-31,83
2020-09-01,122
2020-09-02,115
2020-09-03,114
2020-09-04,119
2020-09-05,109
2020-09-06,61
2020-09-07,50
2020-09-08,121
2020-09-09,141
2020-09-10,127
2020-09-11,102
2020-09-12,117
2020-09-13,91
2020-09-14,56
2020-09-15,150
2020-09-16,130
2020-09-17,143
2020-09-18,132
2020-09-19,142
2020-09-20,79
2020-09-21,71
2020-09-22,155
2020-09-23,145
2020-09-24,147
2020-09-25,106
2020-09-26,167
2020-09-27,99
2020-09-28,60
2020-09-29,157
2020-09-30,174
2020-10-01,166
2020-10-02,185
2020-10-03,172
2020-10-04,107
2020-10-05,115
2020-10-06,184
2020-10-07,196
2020-10-08,184
2020-10-09,198
2020-10-10,194
2020-10-11,140
2020-10-12,123
2020-10-13,240
2020-10-14,235
2020-10-15,281
2020-10-16,230
2020-10-17,277
2020-10-18,182
2020-10-19,166
2020-10-20,268
2020-10-21,313
2020-10-22,286
2020-10-23,281
2020-10-24,294
2020-10-25,228
2020-10-26,217
2020-10-27,317
2020-10-28,343
2020-10-29,359
2020-10-30,351
2020-10-31,325
2020-11-01,239
2020-11-02,238
2020-11-03,347
2020-11-04,385
2020-11-05,289
2020-11-06,369
2020-11-07,356
2020-11-08,282
2020-11-09,254
2020-11-10,353
2020-11-11,427
2020-11-12,429
2020-11-13,401
2020-11-14,380
2020-11-15,349
2020-11-16,299
2020-11-17,435
2020-11-18,449
2020-11-19,457
2020-11-20,455
2020-11-21,462
