ds,y
2020-01-23,0
2020-01-24,1
2020-01-25,0
2020-01-26,3
2020-01-27,0
2020-01-28,0
2020-01-29,1
2020-01-30,0
2020-01-31,2
2020-02-01,0
2020-02-02,0
2020-02-03,3
2020-02-04,0
2020-02-05,0
2020-02-06,1
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,0
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,2
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,0
2020-02-29,8
2020-03-01,7
2020-03-02,23
2020-03-03,19
2020-03-04,33
2020-03-05,77
2020-03-06,53
2020-03-07,166
2020-03-08,116
2020-03-09,75
2020-03-10,188
2020-03-11,365
2020-03-12,439
2020-03-13,633
2020-03-14,759
2020-03-15,234
2020-03-16,1467
2020-03-17,1833
2020-03-18,2657
2020-03-19,4494
2020-03-20,6367
2020-03-21,5995
2020-03-22,8919
2020-03-23,11152
2020-03-24,10618
2020-03-25,12127
2020-03-26,17821
2020-03-27,18591
2020-03-28,22164
2020-03-29,16127
2020-03-30,22154
2020-03-31,26381
2020-04-01,31175
2020-04-02,32276
2020-04-03,32401
2020-04-04,31845
2020-04-05,29240
2020-04-06,31782
2020-04-07,30036
2020-04-08,31063
2020-04-09,35610
2020-04-10,34283
2020-04-11,28924
2020-04-12,26308
2020-04-13,27143
2020-04-14,28328
2020-04-15,25897
2020-04-16,29638
2020-04-17,33107
2020-04-18,27329
2020-04-19,25422
2020-04-20,30084
2020-04-21,26075
2020-04-22,29881
2020-04-23,31965
2020-04-24,31965
2020-04-25,30914
2020-04-26,25971
2020-04-27,24650
2020-04-28,24573
2020-04-29,26852
2020-04-30,29702
2020-05-01,34892
2020-05-02,26764
2020-05-03,23733
2020-05-04,23802
2020-05-05,24019
2020-05-06,24482
2020-05-07,27739
2020-05-08,27183
2020-05-09,24454
2020-05-10,18747
2020-05-11,19077
2020-05-12,23381
2020-05-13,20015
2020-05-14,25890
2020-05-15,24851
2020-05-16,24050
2020-05-17,18729
2020-05-18,22308
2020-05-19,20503
2020-05-20,22827
2020-05-21,25152
2020-05-22,23829
2020-05-23,20189
2020-05-24,20174
2020-05-25,19094
2020-05-26,18726
2020-05-27,18763
2020-05-28,21267
2020-05-29,25082
2020-05-30,23080
2020-05-31,18919
2020-06-01,17840
2020-06-02,20090
2020-06-03,19156
2020-06-04,27934
2020-06-05,26440
2020-06-06,20269
2020-06-07,17826
2020-06-08,16900
2020-06-09,20321
2020-06-10,21718
2020-06-11,22278
2020-06-12,25558
2020-06-13,24157
2020-06-14,18901
2020-06-15,20999
2020-06-16,24549
2020-06-17,27050
2020-06-18,28227
2020-06-19,31054
2020-06-20,31826
2020-06-21,25836
2020-06-22,29801
2020-06-23,38729
2020-06-24,36251
2020-06-25,39299
2020-06-26,49046
2020-06-27,40754
2020-06-28,42925
2020-06-29,41295
2020-06-30,49825
2020-07-01,49123
2020-07-02,54943
2020-07-03,51504
2020-07-04,45946
2020-07-05,53728
2020-07-06,43165
2020-07-07,57231
2020-07-08,60306
2020-07-09,59656
2020-07-10,68859
2020-07-11,60439
2020-07-12,60132
2020-07-13,59364
2020-07-14,65662
2020-07-15,66026
2020-07-16,70814
2020-07-17,66472
2020-07-18,64322
2020-07-19,58932
2020-07-20,60663
2020-07-21,68194
2020-07-22,67545
2020-07-23,67886
2020-07-24,75147
2020-07-25,64200
2020-07-26,55839
2020-07-27,59724
2020-07-28,64830
2020-07-29,64129
2020-07-30,69241
2020-07-31,64576
2020-08-01,57578
2020-08-02,47109
2020-08-03,41684
2020-08-04,61657
2020-08-05,54348
2020-08-06,60179
2020-08-07,60587
2020-08-08,63933
2020-08-09,54267
2020-08-10,51617
2020-08-11,56955
2020-08-12,55244
2020-08-13,51656
2020-08-14,70125
2020-08-15,52394
2020-08-16,34662
2020-08-17,37849
2020-08-18,44902
2020-08-19,45884
2020-08-20,45128
