ds,y
2020-02-29,1
2020-03-01,0
2020-03-02,5
2020-03-03,1
2020-03-04,4
2020-03-05,1
2020-03-06,2
2020-03-07,3
2020-03-08,4
2020-03-09,1
2020-03-10,6
2020-03-11,5
2020-03-12,10
2020-03-13,8
2020-03-14,7
2020-03-15,12
2020-03-16,27
2020-03-17,37
2020-03-18,60
2020-03-19,72
2020-03-20,106
2020-03-21,103
2020-03-22,128
2020-03-23,187
2020-03-24,243
2020-03-25,333
2020-03-26,417
2020-03-27,522
2020-03-28,713
2020-03-29,555
2020-03-30,707
2020-03-31,1079
2020-04-01,1296
2020-04-02,1505
2020-04-03,1431
2020-04-04,1601
2020-04-05,1625
2020-04-06,1728
2020-04-07,2576
2020-04-08,2159
2020-04-09,2204
2020-04-10,2185
2020-04-11,2140
2020-04-12,1897
2020-04-13,1985
2020-04-14,2468
2020-04-15,2593
2020-04-16,2183
2020-04-17,2097
2020-04-18,1945
2020-04-19,1980
2020-04-20,2245
2020-04-21,2482
2020-04-22,2461
2020-04-23,2420
2020-04-24,2176
2020-04-25,1730
2020-04-26,1406
2020-04-27,1482
2020-04-28,2246
2020-04-29,2390
2020-04-30,2192
2020-05-01,1908
2020-05-02,1743
2020-05-03,1211
2020-05-04,1355
2020-05-05,2224
2020-05-06,2312
2020-05-07,1925
2020-05-08,1773
2020-05-09,1474
2020-05-10,1003
2020-05-11,1031
2020-05-12,1584
2020-05-13,1737
2020-05-14,1774
2020-05-15,1670
2020-05-16,1198
2020-05-17,834
2020-05-18,1221
2020-05-19,1443
2020-05-20,1504
2020-05-21,1192
2020-05-22,1205
2020-05-23,1066
2020-05-24,644
2020-05-25,601
2020-05-26,656
2020-05-27,1476
2020-05-28,1090
2020-05-29,1120
2020-05-30,958
2020-05-31,626
2020-06-01,777
2020-06-02,974
2020-06-03,1012
2020-06-04,995
2020-06-05,879
2020-06-06,639
2020-06-07,460
2020-06-08,514
2020-06-09,908
2020-06-10,872
2020-06-11,818
2020-06-12,799
2020-06-13,723
2020-06-14,353
2020-06-15,408
2020-06-16,781
2020-06-17,755
2020-06-18,694
2020-06-19,628
2020-06-20,572
2020-06-21,325
2020-06-22,380
2020-06-23,734
2020-06-24,749
2020-06-25,547
2020-06-26,634
2020-06-27,498
2020-06-28,332
2020-06-29,371
2020-06-30,554
2020-07-01,710
2020-07-02,737
2020-07-03,676
2020-07-04,314
2020-07-05,332
2020-07-06,374
2020-07-07,1149
2020-07-08,834
2020-07-09,1030
2020-07-10,822
2020-07-11,750
2020-07-12,488
2020-07-13,445
2020-07-14,892
2020-07-15,965
2020-07-16,971
2020-07-17,917
2020-07-18,881
2020-07-19,491
2020-07-20,548
2020-07-21,1081
2020-07-22,1238
2020-07-23,1081
2020-07-24,1108
2020-07-25,965
2020-07-26,555
2020-07-27,1116
2020-07-28,1217
2020-07-29,1456
2020-07-30,1311
2020-07-31,1187
2020-08-01,1135
2020-08-02,493
2020-08-03,568
2020-08-04,1253
2020-08-05,1404
2020-08-06,1166
2020-08-07,1300
2020-08-08,1099
2020-08-09,580
2020-08-10,542
2020-08-11,1073
2020-08-12,1518
2020-08-13,1040
2020-08-14,1318
2020-08-15,1053
2020-08-16,622
2020-08-17,471
2020-08-18,1208
2020-08-19,680
2020-08-20,1084
2020-08-21,1056
2020-08-22,965
2020-08-23,523
2020-08-24,440
2020-08-25,1204
2020-08-26,1168
2020-08-27,1109
2020-08-28,923
2020-08-29,964
2020-08-30,435
2020-08-31,500
2020-09-01,1060
2020-09-02,1060
2020-09-03,1026
2020-09-04,949
2020-09-05,800
2020-09-06,468
2020-09-07,332
2020-09-08,461
2020-09-09,1091
2020-09-10,874
2020-09-11,1133
2020-09-12,736
2020-09-13,393
2020-09-14,428
2020-09-15,1181
2020-09-16,935
2020-09-17,861
2020-09-18,952
2020-09-19,660
