Country,Date,Confirmed,Recovered,Deaths,Active
Germany,2020-01-22,0,0,0,0
Germany,2020-01-23,0,0,0,0
Germany,2020-01-24,0,0,0,0
Germany,2020-01-25,0,0,0,0
Germany,2020-01-26,0,0,0,0
Germany,2020-01-27,1,0,0,1
Germany,2020-01-28,4,0,0,4
Germany,2020-01-29,4,0,0,4
Germany,2020-01-30,4,0,0,4
Germany,2020-01-31,5,0,0,5
Germany,2020-02-01,8,0,0,8
Germany,2020-02-02,10,0,0,10
Germany,2020-02-03,12,0,0,12
Germany,2020-02-04,12,0,0,12
Germany,2020-02-05,12,0,0,12
Germany,2020-02-06,12,0,0,12
Germany,2020-02-07,13,0,0,13
Germany,2020-02-08,13,0,0,13
Germany,2020-02-09,14,0,0,14
Germany,2020-02-10,14,0,0,14
Germany,2020-02-11,16,0,0,16
Germany,2020-02-12,16,0,0,16
Germany,2020-02-13,16,1,0,15
Germany,2020-02-14,16,1,0,15
Germany,2020-02-15,16,1,0,15
Germany,2020-02-16,16,1,0,15
Germany,2020-02-17,16,1,0,15
Germany,2020-02-18,16,12,0,4
Germany,2020-02-19,16,12,0,4
Germany,2020-02-20,16,12,0,4
Germany,2020-02-21,16,14,0,2
Germany,2020-02-22,16,14,0,2
Germany,2020-02-23,16,14,0,2
Germany,2020-02-24,16,14,0,2
Germany,2020-02-25,16,14,0,2
Germany,2020-02-26,21,15,0,6
Germany,2020-02-27,26,16,0,10
Germany,2020-02-28,53,16,0,37
Germany,2020-02-29,66,16,0,50
Germany,2020-03-01,117,16,0,101
Germany,2020-03-02,150,16,0,134
Germany,2020-03-03,188,16,0,172
Germany,2020-03-04,240,16,0,224
Germany,2020-03-05,349,16,0,333
Germany,2020-03-06,534,17,0,517
Germany,2020-03-07,684,18,0,666
Germany,2020-03-08,847,18,0,829
Germany,2020-03-09,1112,18,2,1092
Germany,2020-03-10,1296,18,2,1276
Germany,2020-03-11,1567,25,3,1539
Germany,2020-03-12,2369,25,5,2339
Germany,2020-03-13,3062,46,5,3011
Germany,2020-03-14,3795,46,8,3741
Germany,2020-03-15,4838,46,12,4780
Germany,2020-03-16,6012,67,12,5933
Germany,2020-03-17,7156,67,12,7077
