ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,1
2020-01-28,4
2020-01-29,4
2020-01-30,4
2020-01-31,5
2020-02-01,8
2020-02-02,10
2020-02-03,12
2020-02-04,12
2020-02-05,12
2020-02-06,12
2020-02-07,13
2020-02-08,13
2020-02-09,14
2020-02-10,14
2020-02-11,16
2020-02-12,16
2020-02-13,16
2020-02-14,16
2020-02-15,16
2020-02-16,16
2020-02-17,16
2020-02-18,16
2020-02-19,16
2020-02-20,16
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,16
2020-02-25,16
2020-02-26,21
2020-02-27,26
2020-02-28,53
2020-02-29,66
2020-03-01,117
2020-03-02,150
2020-03-03,188
2020-03-04,240
2020-03-05,349
2020-03-06,534
2020-03-07,684
2020-03-08,847
2020-03-09,1112
2020-03-10,1296
2020-03-11,1567
2020-03-12,2369
2020-03-13,3062
2020-03-14,3795
2020-03-15,4838
2020-03-16,6012
2020-03-17,7156
2020-03-18,8198
2020-03-19,10999
2020-03-20,13957
2020-03-21,16662
2020-03-22,18610
2020-03-23,22672
2020-03-24,27436
2020-03-25,31554
2020-03-26,36508
2020-03-27,42288
2020-03-28,48582
2020-03-29,52547
2020-03-30,57298
2020-03-31,61913
2020-04-01,67366
2020-04-02,73522
2020-04-03,79696
2020-04-04,85778
2020-04-05,91714
2020-04-06,95391
2020-04-07,99225
2020-04-08,103228
2020-04-09,108202
2020-04-10,113525
2020-04-11,117658
2020-04-12,120479
2020-04-13,123016
2020-04-14,125098
2020-04-15,127584
2020-04-16,130450
2020-04-17,133830
2020-04-18,137439
2020-04-19,139897
2020-04-20,141672
2020-04-21,143457
2020-04-22,145694
2020-04-23,148046
2020-04-24,150383
2020-04-25,152438
2020-04-26,154175
2020-04-27,155193
2020-04-28,156337
2020-04-29,157641
2020-04-30,159119
2020-05-01,160758
2020-05-02,161703
2020-05-03,162496
2020-05-04,163175
2020-05-05,163860
2020-05-06,164807
2020-05-07,166091
2020-05-08,167300
2020-05-09,168551
2020-05-10,169218
2020-05-11,169575
2020-05-12,170508
2020-05-13,171306
2020-05-14,172239
2020-05-15,173152
2020-05-16,173772
2020-05-17,174355
2020-05-18,174697
2020-05-19,175210
2020-05-20,176007
2020-05-21,176752
2020-05-22,177212
2020-05-23,177850
2020-05-24,178281
2020-05-25,178570
2020-05-26,179002
2020-05-27,179364
2020-05-28,179717
2020-05-29,180458
2020-05-30,181196
2020-05-31,181482
2020-06-01,181815
2020-06-02,182028
2020-06-03,182370
2020-06-04,182764
2020-06-05,183271
2020-06-06,183678
2020-06-07,183979
2020-06-08,184193
2020-06-09,184543
2020-06-10,184861
2020-06-11,185416
2020-06-12,185674
2020-06-13,186022
2020-06-14,186269
2020-06-15,186461
2020-06-16,186839
2020-06-17,187184
2020-06-18,187764
2020-06-19,188534
2020-06-20,189135
2020-06-21,189822
2020-06-22,190359
2020-06-23,190862
2020-06-24,191449
2020-06-25,192079
2020-06-26,192556
2020-06-27,193243
2020-06-28,193499
2020-06-29,193761
2020-06-30,194259
2020-07-01,194725
2020-07-02,195228
2020-07-03,195674
2020-07-04,196096
2020-07-05,196335
2020-07-06,196554
2020-07-07,196944
2020-07-08,197341
2020-07-09,197783
2020-07-10,198178
2020-07-11,198556
2020-07-12,198804
2020-07-13,198963
2020-07-14,199375
2020-07-15,199726
2020-07-16,200260
2020-07-17,200843
2020-07-18,201372
2020-07-19,201574
2020-07-20,201823
2020-07-21,202345
2020-07-22,202799
2020-07-23,203368
2020-07-24,204183
2020-07-25,204964
2020-07-26,205269
2020-07-27,205609
2020-07-28,206242
2020-07-29,206926
2020-07-30,207828
2020-07-31,208698
2020-08-01,209653
2020-08-02,209893
2020-08-03,210402
2020-08-04,211281
