ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,2
2020-02-10,2
2020-02-11,2
2020-02-12,2
2020-02-13,2
2020-02-14,2
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,4
2020-02-26,11
2020-02-27,13
2020-02-28,30
2020-02-29,43
2020-03-01,82
2020-03-02,118
2020-03-03,162
2020-03-04,218
2020-03-05,254
2020-03-06,393
2020-03-07,460
2020-03-08,626
2020-03-09,1013
2020-03-10,1628
2020-03-11,2040
2020-03-12,2039
2020-03-13,4906
2020-03-14,5679
2020-03-15,6992
2020-03-16,9070
2020-03-17,10187
2020-03-18,12206
2020-03-19,16026
2020-03-20,17779
2020-03-21,21874
2020-03-22,24421
2020-03-23,30250
2020-03-24,33283
2020-03-25,40501
2020-03-26,46406
2020-03-27,51224
2020-03-28,54968
2020-03-29,58598
2020-03-30,63460
2020-03-31,68200
2020-04-01,72084
2020-04-02,74974
2020-04-03,77488
2020-04-04,80002
2020-04-05,80925
2020-04-06,82897
2020-04-07,84689
2020-04-08,85407
2020-04-09,85610
2020-04-10,86524
2020-04-11,87312
2020-04-12,87231
2020-04-13,87616
2020-04-14,86981
2020-04-15,88083
2020-04-16,90836
2020-04-17,96040
2020-04-18,96886
2020-04-19,100864
2020-04-20,98771
2020-04-21,100382
2020-04-22,100757
2020-04-23,101617
2020-04-24,88111
2020-04-25,87295
2020-04-26,86072
2020-04-27,85069
2020-04-28,84403
2020-04-29,79695
2020-04-30,76842
2020-05-01,78623
2020-05-02,74234
2020-05-03,73300
2020-05-04,71240
2020-05-05,70230
2020-05-06,68466
2020-05-07,66866
2020-05-08,65410
2020-05-09,63148
2020-05-10,61563
2020-05-11,63553
2020-05-12,62130
2020-05-13,60764
2020-05-14,58845
2020-05-15,57941
2020-05-16,56689
2020-05-17,56689
2020-05-18,53521
2020-05-19,53883
2020-05-20,54291
2020-05-21,54721
2020-05-22,55820
2020-05-23,56236
2020-05-24,56644
2020-05-25,58190
2020-05-26,58766
2020-05-27,58766
2020-05-28,60411
2020-05-29,61067
2020-05-30,61727
2020-05-31,61976
2020-06-01,62135
2020-06-02,62429
2020-06-03,62822
2020-06-04,63151
2020-06-05,63468
2020-06-06,63799
2020-06-07,64038
2020-06-08,64205
2020-06-09,64454
2020-06-10,64768
2020-06-11,65195
2020-06-12,65697
2020-06-13,66093
2020-06-14,66416
2020-06-15,66597
2020-06-16,66816
2020-06-17,67171
2020-06-18,67756
2020-06-19,66884
2020-06-20,67240
2020-06-21,67573
2020-06-22,67804
2020-06-23,68051
2020-06-24,68383
2020-06-25,68780
2020-06-26,69191
2020-06-27,69752
2020-06-28,70051
2020-06-29,70248
2020-06-30,70540
2020-07-01,70919
2020-07-02,71359
2020-07-03,71784
2020-07-04,71784
2020-07-05,71784
2020-07-06,73025
2020-07-07,73362
2020-07-08,73741
2020-07-09,74279
2020-07-10,75129
2020-07-11,75129
2020-07-12,75129
2020-07-13,77171
2020-07-14,77834
2020-07-15,78705
2020-07-16,80063
2020-07-17,81459
2020-07-18,81459
2020-07-19,81459
2020-07-20,86038
2020-07-21,87394
2020-07-22,88749
2020-07-23,91361
2020-07-24,93613
2020-07-25,93613
2020-07-26,93613
2020-07-27,99972
2020-07-28,101798
2020-07-29,103824
2020-07-30,106611
2020-07-31,109701
2020-08-01,109701
2020-08-02,109701
2020-08-03,118206
2020-08-04,123940
