ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,2
2020-02-10,2
2020-02-11,2
2020-02-12,2
2020-02-13,2
2020-02-14,2
2020-02-15,2
2020-02-16,2
2020-02-17,2
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,6
2020-02-26,13
2020-02-27,15
2020-02-28,32
2020-02-29,45
2020-03-01,84
2020-03-02,120
2020-03-03,165
2020-03-04,222
2020-03-05,259
2020-03-06,400
2020-03-07,500
2020-03-08,673
2020-03-09,1073
2020-03-10,1695
2020-03-11,2277
2020-03-12,2277
2020-03-13,5232
2020-03-14,6391
2020-03-15,7798
2020-03-16,9942
2020-03-17,11748
2020-03-18,13910
2020-03-19,17963
2020-03-20,20410
2020-03-21,25374
2020-03-22,28768
2020-03-23,35136
2020-03-24,39885
2020-03-25,49515
2020-03-26,57786
2020-03-27,65719
2020-03-28,73235
2020-03-29,80110
2020-03-30,87956
2020-03-31,95923
2020-04-01,104118
2020-04-02,112065
2020-04-03,119199
2020-04-04,126168
2020-04-05,131646
2020-04-06,136675
2020-04-07,141942
2020-04-08,148220
2020-04-09,153222
2020-04-10,158273
2020-04-11,163027
2020-04-12,166831
2020-04-13,170099
2020-04-14,172541
2020-04-15,177644
2020-04-16,184948
2020-04-17,190839
2020-04-18,191726
2020-04-19,198674
2020-04-20,200210
2020-04-21,204178
2020-04-22,208389
2020-04-23,213024
2020-04-24,202990
2020-04-25,205905
2020-04-26,207634
2020-04-27,209465
2020-04-28,210773
2020-04-29,212917
2020-04-30,213435
2020-05-01,215216
2020-05-02,216582
2020-05-03,217466
2020-05-04,218011
2020-05-05,219329
2020-05-06,220325
2020-05-07,221447
2020-05-08,222857
2020-05-09,223578
2020-05-10,224350
2020-05-11,227436
2020-05-12,228030
2020-05-13,228691
2020-05-14,229540
2020-05-15,230183
2020-05-16,230698
2020-05-17,230698
2020-05-18,231606
2020-05-19,232037
2020-05-20,232555
2020-05-21,233037
2020-05-22,234824
2020-05-23,235290
2020-05-24,235772
2020-05-25,235400
2020-05-26,236259
2020-05-27,236259
2020-05-28,237906
2020-05-29,238564
2020-05-30,239228
2020-05-31,239479
2020-06-01,239638
2020-06-02,239932
2020-06-03,240326
2020-06-04,240660
2020-06-05,240978
2020-06-06,241310
2020-06-07,241550
2020-06-08,241717
2020-06-09,241966
2020-06-10,242280
2020-06-11,242707
2020-06-12,243209
2020-06-13,243605
2020-06-14,243928
2020-06-15,244109
2020-06-16,244328
2020-06-17,244683
2020-06-18,245268
2020-06-19,245575
2020-06-20,245938
2020-06-21,246272
2020-06-22,246504
2020-06-23,246752
2020-06-24,247086
2020-06-25,247486
2020-06-26,247905
2020-06-27,248469
2020-06-28,248770
2020-06-29,248970
2020-06-30,249271
2020-07-01,249659
2020-07-02,250103
2020-07-03,250545
2020-07-04,250545
2020-07-05,250545
2020-07-06,251789
2020-07-07,252130
2020-07-08,252513
2020-07-09,253056
2020-07-10,253908
2020-07-11,253908
2020-07-12,253908
2020-07-13,255953
2020-07-14,256619
2020-07-15,257494
2020-07-16,258855
2020-07-17,260255
2020-07-18,260255
2020-07-19,260255
2020-07-20,264836
2020-07-21,266194
2020-07-22,267551
2020-07-23,270166
2020-07-24,272421
2020-07-25,272421
2020-07-26,272421
2020-07-27,278782
2020-07-28,280610
2020-07-29,282641
2020-07-30,285430
2020-07-31,288522
2020-08-01,288522
2020-08-02,288522
2020-08-03,297054
2020-08-04,302814
