ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,2
2020-01-25,3
2020-01-26,3
2020-01-27,3
2020-01-28,4
2020-01-29,5
2020-01-30,5
2020-01-31,5
2020-02-01,6
2020-02-02,6
2020-02-03,6
2020-02-04,6
2020-02-05,6
2020-02-06,6
2020-02-07,6
2020-02-08,11
2020-02-09,11
2020-02-10,11
2020-02-11,11
2020-02-12,9
2020-02-13,9
2020-02-14,9
2020-02-15,7
2020-02-16,7
2020-02-17,7
2020-02-18,7
2020-02-19,7
2020-02-20,7
2020-02-21,7
2020-02-22,7
2020-02-23,7
2020-02-24,7
2020-02-25,2
2020-02-26,5
2020-02-27,25
2020-02-28,44
2020-02-29,86
2020-03-01,116
2020-03-02,176
2020-03-03,196
2020-03-04,269
2020-03-05,404
2020-03-06,592
2020-03-07,910
2020-03-08,1084
2020-03-09,1364
2020-03-10,1728
2020-03-11,2221
2020-03-12,2221
2020-03-13,3570
2020-03-14,4366
2020-03-15,4396
2020-03-16,6473
2020-03-17,7492
2020-03-18,8883
2020-03-19,10616
2020-03-20,12150
2020-03-21,13708
2020-03-22,13659
2020-03-23,16796
2020-03-24,17711
2020-03-25,19736
2020-03-26,22213
2020-03-27,24915
2020-03-28,29151
2020-03-29,29956
2020-03-30,33082
2020-03-31,38618
2020-04-01,40661
2020-04-02,40600
2020-04-03,43084
2020-04-04,23497
2020-04-05,23050
2020-04-06,23785
2020-04-07,16748
2020-04-08,18132
2020-04-09,18601
2020-04-10,17425
2020-04-11,16765
2020-04-12,66149
2020-04-13,68168
2020-04-14,84067
2020-04-15,83907
2020-04-16,93856
2020-04-17,93420
2020-04-18,95021
2020-04-19,95111
2020-04-20,96201
2020-04-21,96542
2020-04-22,96335
2020-04-23,92671
2020-04-24,93753
2020-04-25,93925
2020-04-26,93986
2020-04-27,96626
2020-04-28,98053
2020-04-29,94829
2020-04-30,94439
2020-05-01,94014
2020-05-02,94157
2020-05-03,94052
2020-05-04,93799
2020-05-05,93166
2020-05-06,95802
2020-05-07,95192
2020-05-08,94781
2020-05-09,94975
2020-05-10,94935
2020-05-11,94478
2020-05-12,93762
2020-05-13,93388
2020-05-14,92670
2020-05-15,92209
2020-05-16,92417
2020-05-17,91279
2020-05-18,91041
2020-05-19,90921
2020-05-20,90701
2020-05-21,90369
2020-05-22,90572
2020-05-23,90675
2020-05-24,90130
2020-05-25,89734
2020-05-26,89113
2020-05-27,88969
2020-05-28,91590
2020-05-29,91580
2020-05-30,92837
2020-05-31,92943
2020-06-01,93086
2020-06-02,91894
2020-06-03,88017
2020-06-04,91765
2020-06-05,91745
2020-06-06,91961
2020-06-07,92238
2020-06-08,92309
2020-06-09,92291
2020-06-10,92451
2020-06-11,92409
2020-06-12,92786
2020-06-13,92921
2020-06-14,93150
2020-06-15,93275
2020-06-16,93485
2020-06-17,93521
2020-06-18,93714
2020-06-19,94071
2020-06-20,94324
2020-06-21,94363
2020-06-22,94359
2020-06-23,94653
2020-06-24,94456
2020-06-25,94255
2020-06-26,95013
2020-06-27,95362
2020-06-28,94952
2020-06-29,95059
2020-06-30,95077
2020-07-01,95578
2020-07-02,95743
2020-07-03,96001
2020-07-04,96090
2020-07-05,96090
2020-07-06,96779
2020-07-07,96960
2020-07-08,97689
2020-07-09,97729
2020-07-10,98259
2020-07-11,98455
2020-07-12,98455
2020-07-13,99641
2020-07-14,99903
2020-07-15,100589
2020-07-16,100873
2020-07-17,101488
2020-07-18,101828
2020-07-19,101828
2020-07-20,103743
2020-07-21,104334
2020-07-22,105340
2020-07-23,105959
2020-07-24,106660
2020-07-25,106905
2020-07-26,106905
2020-07-27,109226
2020-07-28,109560
2020-07-29,110956
2020-07-30,112145
2020-07-31,113329
2020-08-01,113474
2020-08-02,113474
2020-08-03,116914
2020-08-04,117921
