ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,2
2020-01-25,3
2020-01-26,3
2020-01-27,3
2020-01-28,4
2020-01-29,5
2020-01-30,5
2020-01-31,5
2020-02-01,6
2020-02-02,6
2020-02-03,6
2020-02-04,6
2020-02-05,6
2020-02-06,6
2020-02-07,6
2020-02-08,11
2020-02-09,11
2020-02-10,11
2020-02-11,11
2020-02-12,11
2020-02-13,11
2020-02-14,11
2020-02-15,12
2020-02-16,12
2020-02-17,12
2020-02-18,12
2020-02-19,12
2020-02-20,12
2020-02-21,12
2020-02-22,12
2020-02-23,12
2020-02-24,12
2020-02-25,14
2020-02-26,18
2020-02-27,38
2020-02-28,57
2020-02-29,100
2020-03-01,130
2020-03-02,191
2020-03-03,212
2020-03-04,285
2020-03-05,423
2020-03-06,613
2020-03-07,938
2020-03-08,1115
2020-03-09,1401
2020-03-10,1773
2020-03-11,2281
2020-03-12,2281
2020-03-13,3661
2020-03-14,4469
2020-03-15,4499
2020-03-16,6633
2020-03-17,7652
2020-03-18,9043
2020-03-19,10871
2020-03-20,12612
2020-03-21,14282
2020-03-22,16533
2020-03-23,19856
2020-03-24,22054
2020-03-25,24967
2020-03-26,28856
2020-03-27,32609
2020-03-28,37162
2020-03-29,39761
2020-03-30,44029
2020-03-31,51579
2020-04-01,56362
2020-04-02,58404
2020-04-03,63588
2020-04-04,46483
2020-04-05,47299
2020-04-06,49934
2020-04-07,46400
2020-04-08,50242
2020-04-09,54003
2020-04-10,55538
2020-04-11,56972
2020-04-12,107712
2020-04-13,110836
2020-04-14,128272
2020-04-15,131476
2020-04-16,144035
2020-04-17,145896
2020-04-18,149683
2020-04-19,150752
2020-04-20,153197
2020-04-21,155821
2020-04-22,157603
2020-04-23,155881
2020-04-24,158653
2020-04-25,160295
2020-04-26,160907
2020-04-27,164592
2020-04-28,167650
2020-04-29,166193
2020-04-30,167326
2020-05-01,167846
2020-05-02,168637
2020-05-03,168887
2020-05-04,169405
2020-05-05,170467
2020-05-06,174596
2020-05-07,175218
2020-05-08,175743
2020-05-09,176132
2020-05-10,176338
2020-05-11,176651
2020-05-12,177330
2020-05-13,177790
2020-05-14,178353
2020-05-15,178837
2020-05-16,179140
2020-05-17,179250
2020-05-18,179650
2020-05-19,180143
2020-05-20,180499
2020-05-21,180752
2020-05-22,181444
2020-05-23,181969
2020-05-24,181410
2020-05-25,181684
2020-05-26,181880
2020-05-27,182018
2020-05-28,185300
2020-05-29,185842
2020-05-30,187608
2020-05-31,187817
2020-06-01,187986
2020-06-02,187265
2020-06-03,184015
2020-06-04,188286
2020-06-05,188808
2020-06-06,189330
2020-06-07,189621
2020-06-08,189782
2020-06-09,190266
2020-06-10,190743
2020-06-11,191040
2020-06-12,191679
2020-06-13,192043
2020-06-14,192317
2020-06-15,192369
2020-06-16,192915
2020-06-17,193256
2020-06-18,193576
2020-06-19,194121
2020-06-20,194535
2020-06-21,194599
2020-06-22,194693
2020-06-23,195256
2020-06-24,195256
2020-06-25,195256
2020-06-26,196267
2020-06-27,196521
2020-06-28,196111
2020-06-29,196390
2020-06-30,196554
2020-07-01,197238
2020-07-02,197591
2020-07-03,197994
2020-07-04,197994
2020-07-05,197994
2020-07-06,198850
2020-07-07,199170
2020-07-08,199699
2020-07-09,200027
2020-07-10,200569
2020-07-11,200569
2020-07-12,200569
2020-07-13,201755
2020-07-14,201755
2020-07-15,202383
2020-07-16,202819
2020-07-17,203516
2020-07-18,203516
2020-07-19,203516
2020-07-20,205308
2020-07-21,205773
2020-07-22,206641
2020-07-23,207650
2020-07-24,208553
2020-07-25,208553
2020-07-26,208553
2020-07-27,210821
2020-07-28,211337
2020-07-29,212676
2020-07-30,213927
2020-07-31,215135
2020-08-01,215135
2020-08-02,215135
2020-08-03,218351
2020-08-04,219253
