ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,2
2020-03-01,2
2020-03-02,3
2020-03-03,4
2020-03-04,4
2020-03-05,7
2020-03-06,9
2020-03-07,16
2020-03-08,19
2020-03-09,25
2020-03-10,33
2020-03-11,48
2020-03-12,48
2020-03-13,79
2020-03-14,91
2020-03-15,91
2020-03-16,148
2020-03-17,148
2020-03-18,148
2020-03-19,243
2020-03-20,450
2020-03-21,562
2020-03-22,674
2020-03-23,860
2020-03-24,1100
2020-03-25,1331
2020-03-26,1695
2020-03-27,1994
2020-03-28,2311
2020-03-29,2603
2020-03-30,3020
2020-03-31,3517
2020-04-01,4767
2020-04-02,5376
2020-04-03,6496
2020-04-04,7548
2020-04-05,8066
2020-04-06,8899
2020-04-07,10315
2020-04-08,10856
2020-04-09,12196
2020-04-10,13181
2020-04-11,13816
2020-04-12,14377
2020-04-13,14950
2020-04-14,15693
2020-04-15,17129
2020-04-16,17882
2020-04-17,18642
2020-04-18,19283
2020-04-19,19668
2020-04-20,20214
2020-04-21,20736
2020-04-22,21280
2020-04-23,21796
2020-04-24,22185
2020-04-25,22554
2020-04-26,22796
2020-04-27,23233
2020-04-28,23600
2020-04-29,24026
2020-04-30,24315
2020-05-01,24532
2020-05-02,24729
2020-05-03,24862
2020-05-04,25168
2020-05-05,25498
2020-05-06,25772
2020-05-07,25950
2020-05-08,26192
2020-05-09,26271
2020-05-10,26341
2020-05-11,26604
2020-05-12,26951
2020-05-13,27034
2020-05-14,27383
2020-05-15,27485
2020-05-16,27581
2020-05-17,28064
2020-05-18,28193
2020-05-19,27976
2020-05-20,28085
2020-05-21,28167
2020-05-22,28315
2020-05-23,28401
2020-05-24,28319
2020-05-25,28408
2020-05-26,28545
2020-05-27,28546
2020-05-28,28612
2020-05-29,28663
2020-05-30,28720
2020-05-31,28751
2020-06-01,28780
2020-06-02,28886
2020-06-03,28967
2020-06-04,29011
2020-06-05,29056
2020-06-06,29087
2020-06-07,29100
2020-06-08,29154
2020-06-09,29239
2020-06-10,29260
2020-06-11,29287
2020-06-12,29315
2020-06-13,29339
2020-06-14,29347
2020-06-15,29375
2020-06-16,29487
2020-06-17,29512
2020-06-18,29540
2020-06-19,29554
2020-06-20,29570
2020-06-21,29575
2020-06-22,29597
2020-06-23,29651
2020-06-24,29662
2020-06-25,29679
2020-06-26,29704
2020-06-27,29704
2020-06-28,29704
2020-06-29,29736
2020-06-30,29763
2020-07-01,29781
2020-07-02,29794
2020-07-03,29812
2020-07-04,29812
2020-07-05,29812
2020-07-06,29838
2020-07-07,29847
2020-07-08,29877
2020-07-09,29890
2020-07-10,29914
2020-07-11,29914
2020-07-12,29914
2020-07-13,29934
2020-07-14,29934
2020-07-15,30020
2020-07-16,30036
2020-07-17,30049
2020-07-18,30049
2020-07-19,30049
2020-07-20,30071
2020-07-21,30057
2020-07-22,30063
2020-07-23,30073
2020-07-24,30082
2020-07-25,30082
2020-07-26,30082
2020-07-27,30098
2020-07-28,30110
2020-07-29,30123
2020-07-30,30139
2020-07-31,30150
2020-08-01,30150
2020-08-02,30150
2020-08-03,30179
2020-08-04,30180
2020-08-05,30188
