ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,2
2020-02-03,3
2020-02-04,3
2020-02-05,3
2020-02-06,3
2020-02-07,3
2020-02-08,3
2020-02-09,3
2020-02-10,3
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,2
2020-03-03,2
2020-03-04,25
2020-03-05,27
2020-03-06,28
2020-03-07,31
2020-03-08,36
2020-03-09,40
2020-03-10,52
2020-03-11,57
2020-03-12,68
2020-03-13,76
2020-03-14,96
2020-03-15,98
2020-03-16,104
2020-03-17,125
2020-03-18,139
2020-03-19,175
2020-03-20,219
2020-03-21,303
2020-03-22,362
2020-03-23,462
2020-03-24,486
2020-03-25,602
2020-03-26,662
2020-03-27,794
2020-03-28,879
2020-03-29,902
2020-03-30,1117
2020-03-31,1239
2020-04-01,1792
2020-04-02,2280
2020-04-03,2303
2020-04-04,2767
2020-04-05,3260
2020-04-06,4267
2020-04-07,4740
2020-04-08,5232
2020-04-09,5879
2020-04-10,6578
2020-04-11,7189
2020-04-12,7794
2020-04-13,8914
2020-04-14,9735
2020-04-15,10485
2020-04-16,11214
2020-04-17,11825
2020-04-18,12738
2020-04-19,14202
2020-04-20,14674
2020-04-21,15460
2020-04-22,16319
2020-04-23,17344
2020-04-24,18252
2020-04-25,19519
2020-04-26,20486
2020-04-27,21375
2020-04-28,22569
2020-04-29,23546
2020-04-30,24641
2020-05-01,26027
2020-05-02,27557
2020-05-03,29339
2020-05-04,32024
2020-05-05,33565
2020-05-06,35871
2020-05-07,37686
2020-05-08,39823
2020-05-09,41406
2020-05-10,43980
2020-05-11,45925
2020-05-12,47457
2020-05-13,49104
2020-05-14,51379
2020-05-15,52773
2020-05-16,53553
2020-05-17,55878
2020-05-18,57939
2020-05-19,60864
2020-05-20,63172
2020-05-21,66089
2020-05-22,69244
2020-05-23,73170
2020-05-24,76820
2020-05-25,80072
2020-05-26,82172
2020-05-27,85803
2020-05-28,89755
2020-05-29,85884
2020-05-30,89706
2020-05-31,93349
2020-06-01,97008
2020-06-02,101077
2020-06-03,106665
2020-06-04,111900
2020-06-05,116302
2020-06-06,120981
2020-06-07,126431
2020-06-08,129360
2020-06-09,133726
2020-06-10,143297
2020-06-11,141842
2020-06-12,145779
2020-06-13,149348
2020-06-14,153106
2020-06-15,153178
2020-06-16,155227
2020-06-17,160384
2020-06-18,163248
2020-06-19,168269
2020-06-20,169469
2020-06-21,174387
2020-06-22,178014
2020-06-23,183022
2020-06-24,186514
2020-06-25,189463
2020-06-26,197387
2020-06-27,203051
2020-06-28,210120
2020-06-29,215125
2020-06-30,220169
2020-07-01,226947
2020-07-02,227439
2020-07-03,235433
2020-07-04,244814
2020-07-05,253287
2020-07-06,259571
2020-07-07,264944
2020-07-08,269789
2020-07-09,276685
2020-07-10,283407
2020-07-11,292231
2020-07-12,301609
2020-07-13,311565
2020-07-14,319840
2020-07-15,331175
2020-07-16,342473
2020-07-17,359060
2020-07-18,373542
2020-07-19,390622
2020-07-20,402678
2020-07-21,411296
2020-07-22,426330
2020-07-23,440298
2020-07-24,456234
2020-07-25,468002
2020-07-26,485277
2020-07-27,495499
2020-07-28,509447
2020-07-29,527273
2020-07-30,543680
2020-07-31,565103
2020-08-01,567730
2020-08-02,579357
2020-08-03,586298
2020-08-04,586244
2020-08-05,595501
2020-08-06,607384
