ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,1
2020-02-23,2
2020-02-24,1
2020-02-25,1
2020-02-26,3
2020-02-27,45
2020-02-28,46
2020-02-29,46
2020-03-01,83
2020-03-02,149
2020-03-03,160
2020-03-04,276
2020-03-05,414
2020-03-06,523
2020-03-07,589
2020-03-08,622
2020-03-09,724
2020-03-10,724
2020-03-11,1045
2020-03-12,1045
2020-03-13,1439
2020-03-14,1966
2020-03-15,2335
2020-03-16,2749
2020-03-17,2941
2020-03-18,4025
2020-03-19,4440
2020-03-20,4440
2020-03-21,6072
2020-03-22,7024
2020-03-23,7024
2020-03-24,8326
2020-03-25,9362
2020-03-26,10361
2020-03-27,10950
2020-03-28,12384
2020-03-29,13030
2020-03-30,14620
2020-03-31,15729
2020-04-01,16847
2020-04-02,18278
2020-04-03,19758
2020-04-04,20996
2020-04-05,21815
2020-04-06,22837
2020-04-07,24392
2020-04-08,26491
2020-04-09,28470
2020-04-10,30455
2020-04-11,32534
2020-04-12,34211
2020-04-13,35435
2020-04-14,37130
2020-04-15,38092
2020-04-16,40164
2020-04-17,42727
2020-04-18,44927
2020-04-19,47055
2020-04-20,48877
2020-04-21,51600
2020-04-22,54543
2020-04-23,57576
2020-04-24,60498
2020-04-25,63120
2020-04-26,64928
2020-04-27,66624
2020-04-28,68941
2020-04-29,71252
2020-04-30,75945
2020-05-01,78249
2020-05-02,79914
2020-05-03,81654
2020-05-04,82879
2020-05-05,85231
2020-05-06,93245
2020-05-07,96276
2020-05-08,99023
2020-05-09,103031
2020-05-10,105186
2020-05-11,106587
2020-05-12,109039
2020-05-13,112541
2020-05-14,115288
2020-05-15,120205
2020-05-16,122810
2020-05-17,125176
2020-05-18,127326
2020-05-19,129401
2020-05-20,132282
2020-05-21,134560
2020-05-22,136720
2020-05-23,138840
2020-05-24,140479
2020-05-25,141981
2020-05-26,144658
2020-05-27,147101
2020-05-28,150604
2020-05-29,152844
2020-05-30,155633
2020-05-31,157507
2020-06-01,158355
2020-06-02,160092
2020-06-03,160938
2020-06-04,161895
2020-06-05,163781
2020-06-06,165078
2020-06-07,165837
2020-06-08,166584
2020-06-09,168646
2020-06-10,169939
2020-06-11,171338
2020-06-12,173085
2020-06-13,174865
2020-06-14,176370
2020-06-15,177010
2020-06-16,178526
2020-06-17,179455
2020-06-18,180544
2020-06-19,181907
2020-06-20,182453
2020-06-21,182893
2020-06-22,183426
2020-06-23,184585
2020-06-24,186111
2020-06-25,186725
2020-06-26,187615
2020-06-27,188584
2020-06-28,188891
2020-06-29,189196
2020-06-30,190248
2020-07-01,190717
2020-07-02,191083
2020-07-03,191467
2020-07-04,191944
2020-07-05,192108
2020-07-06,192241
2020-07-07,192815
2020-07-08,193640
2020-07-09,193978
2020-07-10,194273
2020-07-11,194579
2020-07-12,194928
2020-07-13,195106
2020-07-14,195441
2020-07-15,196016
2020-07-16,196246
2020-07-17,196483
2020-07-18,196806
2020-07-19,196949
2020-07-20,197162
2020-07-21,197431
2020-07-22,197628
2020-07-23,197842
2020-07-24,198192
2020-07-25,198320
2020-07-26,198446
2020-07-27,198593
2020-07-28,198756
2020-07-29,199031
2020-07-30,199796
2020-07-31,199974
2020-08-01,200229
2020-08-02,200460
2020-08-03,200589
2020-08-04,200766
