ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,5
2020-03-14,5
2020-03-15,6
2020-03-16,18
2020-03-17,46
2020-03-18,97
2020-03-19,189
2020-03-20,355
2020-03-21,661
2020-03-22,1206
2020-03-23,1492
2020-03-24,1828
2020-03-25,2348
2020-03-26,3528
2020-03-27,5564
2020-03-28,7224
2020-03-29,8981
2020-03-30,10497
2020-03-31,13074
2020-04-01,15069
2020-04-02,17364
2020-04-03,20012
2020-04-04,22647
2020-04-05,25453
2020-04-06,28242
2020-04-07,31802
2020-04-08,35568
2020-04-09,39232
2020-04-10,43600
2020-04-11,48101
2020-04-12,52312
2020-04-13,55796
2020-04-14,58909
2020-04-15,62200
2020-04-16,65461
2020-04-17,68146
2020-04-18,69986
2020-04-19,72313
2020-04-20,75410
2020-04-21,78414
2020-04-22,79821
2020-04-23,80808
2020-04-24,80575
2020-04-25,79485
2020-04-26,78185
2020-04-27,75570
2020-04-28,72852
2020-04-29,70468
2020-04-30,68144
2020-05-01,65326
2020-05-02,62780
2020-05-03,59497
2020-05-04,56032
2020-05-05,52686
2020-05-06,49958
2020-05-07,47096
2020-05-08,45484
2020-05-09,43896
2020-05-10,42180
2020-05-11,40150
2020-05-12,38692
2020-05-13,37447
2020-05-14,36712
2020-05-15,36269
2020-05-16,35834
2020-05-17,35333
2020-05-18,34845
2020-05-19,34521
2020-05-20,34378
2020-05-21,34309
2020-05-22,34113
2020-05-23,33776
2020-05-24,33793
2020-05-25,33430
2020-05-26,32858
2020-05-27,32573
2020-05-28,32149
2020-05-29,31668
2020-05-30,31604
2020-05-31,31429
2020-06-01,31259
2020-06-02,31049
2020-06-03,30961
2020-06-04,31002
2020-06-05,30292
2020-06-06,29227
2020-06-07,27471
2020-06-08,25030
2020-06-09,22787
2020-06-10,21451
2020-06-11,21400
2020-06-12,21338
2020-06-13,21798
2020-06-14,22015
2020-06-15,22642
2020-06-16,23077
2020-06-17,23226
2020-06-18,23127
2020-06-19,22824
2020-06-20,22738
2020-06-21,22495
2020-06-22,22390
2020-06-23,22316
2020-06-24,22398
2020-06-25,22363
2020-06-26,22248
2020-06-27,21619
2020-06-28,21547
2020-06-29,21689
2020-06-30,21664
2020-07-01,20526
2020-07-02,20152
2020-07-03,19992
2020-07-04,19912
2020-07-05,19853
2020-07-06,18608
2020-07-07,17345
2020-07-08,16145
2020-07-09,14272
2020-07-10,13759
2020-07-11,13420
2020-07-12,13115
2020-07-13,12948
2020-07-14,12871
2020-07-15,12788
2020-07-16,12613
2020-07-17,12507
2020-07-18,12229
2020-07-19,12140
2020-07-20,12062
2020-07-21,11963
2020-07-22,11643
2020-07-23,11387
2020-07-24,11298
2020-07-25,11100
2020-07-26,11000
2020-07-27,10920
2020-07-28,10776
2020-07-29,10708
2020-07-30,10678
2020-07-31,10647
2020-08-01,10643
2020-08-02,10634
2020-08-03,10607
2020-08-04,10678
2020-08-05,10822
