ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,26
2020-03-26,26
2020-03-27,42
2020-03-28,70
2020-03-29,105
2020-03-30,162
2020-03-31,243
2020-04-01,333
2020-04-02,415
2020-04-03,484
2020-04-04,786
2020-04-05,1042
2020-04-06,1326
2020-04-07,1582
2020-04-08,1846
2020-04-09,2142
2020-04-10,2423
2020-04-11,2965
2020-04-12,3446
2020-04-13,3957
2020-04-14,4799
2020-04-15,5674
2020-04-16,7089
2020-04-17,8631
2020-04-18,10453
2020-04-19,11976
2020-04-20,13430
2020-04-21,14918
2020-04-22,16477
2020-04-23,18491
2020-04-24,21737
2020-04-25,25582
2020-04-26,29140
2020-04-27,33791
2020-04-28,38809
2020-04-29,44040
2020-04-30,48886
2020-05-01,53808
2020-05-02,58259
2020-05-03,63151
2020-05-04,68166
2020-05-05,73285
2020-05-06,78202
2020-05-07,82984
2020-05-08,86396
2020-05-09,89480
2020-05-10,92691
2020-05-11,95780
2020-05-12,98889
2020-05-13,101715
2020-05-14,104030
2020-05-15,106133
2020-05-16,108137
2020-05-17,109962
2020-05-18,111577
2020-05-19,112895
2020-05-20,113987
2020-05-21,114990
2020-05-22,116111
2020-05-23,117602
2020-05-24,118694
2020-05-25,120015
2020-05-26,121507
2020-05-27,122793
2020-05-28,124369
2020-05-29,125963
2020-05-30,126984
2020-05-31,127973
2020-06-01,128947
2020-06-02,129921
2020-06-03,130852
2020-06-04,131778
2020-06-05,133400
2020-06-06,135322
2020-06-07,137969
2020-06-08,141380
2020-06-09,144598
2020-06-10,146839
2020-06-11,147860
2020-06-12,149102
2020-06-13,150087
2020-06-14,151417
2020-06-15,152364
2020-06-16,153379
2020-06-17,154640
2020-06-18,156022
2020-06-19,157516
2020-06-20,158828
2020-06-21,160240
2020-06-22,161533
2020-06-23,162848
2020-06-24,164234
2020-06-25,165706
2020-06-26,167198
2020-06-27,169182
2020-06-28,170595
2020-06-29,171809
2020-06-30,173111
2020-07-01,175422
2020-07-02,176965
2020-07-03,178278
2020-07-04,179492
2020-07-05,180680
2020-07-06,182995
2020-07-07,185292
2020-07-08,187511
2020-07-09,190390
2020-07-10,191883
2020-07-11,193217
2020-07-12,194515
2020-07-13,195671
2020-07-14,196720
2020-07-15,197733
2020-07-16,198820
2020-07-17,199834
2020-07-18,201013
2020-07-19,202010
2020-07-20,203002
2020-07-21,204011
2020-07-22,205214
2020-07-23,206365
2020-07-24,207374
2020-07-25,208477
2020-07-26,209487
2020-07-27,210469
2020-07-28,211561
2020-07-29,212557
2020-07-30,213539
2020-07-31,214535
2020-08-01,215516
2020-08-02,216494
2020-08-03,217497
2020-08-04,218491
2020-08-05,219506
2020-08-06,220546
