Country,Model,MAE,RMSE,RRSE,MAPE
United States,Facebook Prophet,3069.272,3666.133,1.365,13.84
United States,Neural Prophet,3843.046,4279.71,1.222,17.243
Spain,Facebook Prophet,1195.895,1555.624,0.97,3.5687366403600794e+19
Spain,Neural Prophet,1944.026,2314.467,0.975,5.809611633470734e+19
Italy,Facebook Prophet,278.228,384.567,0.593,31.011
Italy,Neural Prophet,312.239,410.104,0.6,33.108
France,Facebook Prophet,6900.495,7647.071,0.997,1522.501
France,Neural Prophet,4179.347,4608.266,0.994,978.624
Germany,Facebook Prophet,690.698,832.894,0.879,102.548
Germany,Neural Prophet,697.286,841.508,0.818,98.305
Russia,Facebook Prophet,1713.301,1916.491,1.284,17.224
Russia,Neural Prophet,1691.983,1892.345,1.18,16.913
Turkey,Facebook Prophet,1616.812,1867.985,0.93,114.816
Turkey,Neural Prophet,1268.823,1531.193,0.909,91.54
India,Facebook Prophet,1494.78,1662.358,1.092,36.653
India,Neural Prophet,1483.031,1637.476,1.072,36.776
