,Model,MASE,RMSSE,MAE,RMSE,MAPE,SMAPE,R2,TT (Sec)
br_cds_dt,Bayesian Ridge w/ Cond. Deseasonalize & Detrending,2.8606,1.501,1619.8137,2098.4837,0.062,0.0609,0.8152,0.056
ridge_cds_dt,Ridge w/ Cond. Deseasonalize & Detrending,3.4608,2.0079,1787.8668,2524.2473,0.0769,0.0865,0.6946,0.056
lr_cds_dt,Linear w/ Cond. Deseasonalize & Detrending,3.492,2.028,1793.0495,2535.7554,0.0773,0.0872,0.6906,0.056
omp_cds_dt,Orthogonal Matching Pursuit w/ Cond. Deseasonalize & Detrending,3.7167,2.3127,2164.7199,3007.6829,0.0778,0.071,0.505,0.058
en_cds_dt,Elastic Net w/ Cond. Deseasonalize & Detrending,4.8607,2.5782,2341.7058,2979.2999,0.0933,0.0918,0.6097,0.056
auto_arima,Auto ARIMA,7.4271,3.8366,1619.8369,2014.7851,0.1056,0.1232,0.6931,4.216
llar_cds_dt,Lasso Least Angular Regressor w/ Cond. Deseasonalize & Detrending,7.7884,4.02,2020.9929,2596.6447,0.1182,0.133,0.6071,0.054
lasso_cds_dt,Lasso w/ Cond. Deseasonalize & Detrending,7.9938,4.3285,2447.2118,3135.4847,0.1227,0.1338,0.4767,0.056
par_cds_dt,Passive Aggressive w/ Cond. Deseasonalize & Detrending,8.688,5.0286,4687.7068,6534.0435,0.1802,0.1302,-2.0878,0.076
ets,ETS,10.0879,5.106,1594.4199,1983.4061,0.1353,0.1751,0.5413,0.088
exp_smooth,Exponential Smoothing,10.12,5.1213,1679.5429,2067.3079,0.1368,0.1767,0.5203,0.086
huber_cds_dt,Huber w/ Cond. Deseasonalize & Detrending,13.2107,6.9844,2309.6544,3259.9082,0.1804,0.2133,-0.1271,0.07
arima,ARIMA,13.3226,6.3858,2257.9806,2726.1434,0.2017,0.2785,0.2282,0.064
dt_cds_dt,Decision Tree w/ Cond. Deseasonalize & Detrending,18.2894,8.7625,7638.2187,8716.8274,0.3534,0.5043,-2.1828,0.064
gbr_cds_dt,Gradient Boosting w/ Cond. Deseasonalize & Detrending,18.3388,8.7793,7671.8547,8746.3581,0.3549,0.507,-2.2023,0.076
et_cds_dt,Extra Trees w/ Cond. Deseasonalize & Detrending,18.392,8.7975,7658.9328,8736.0946,0.3558,0.5092,-2.1982,0.592
ada_cds_dt,AdaBoost w/ Cond. Deseasonalize & Detrending,18.4054,8.8217,8119.8251,9153.3046,0.3606,0.5126,-2.4712,0.104
theta,Theta Forecaster,18.5214,8.8897,8146.6725,9314.6285,0.3629,0.518,-2.5824,0.032
naive,Naive Forecaster,18.833,9.0504,8856.2,10089.5082,0.3763,0.5371,-3.1708,0.038
rf_cds_dt,Random Forest w/ Cond. Deseasonalize & Detrending,19.1731,9.0669,8383.5004,9381.939,0.3831,0.5536,-2.6376,0.59
knn_cds_dt,K Neighbors w/ Cond. Deseasonalize & Detrending,22.7331,10.4134,10905.7119,11782.4753,0.4906,0.7729,-4.6024,0.528
snaive,Seasonal Naive Forecaster,23.5708,10.8127,13978.08,14954.4571,0.5577,0.8776,-8.0264,0.032
lightgbm_cds_dt,Light Gradient Boosting w/ Cond. Deseasonalize & Detrending,24.7793,11.2682,16124.8829,16741.7383,0.6044,0.9614,-10.3206,0.064
polytrend,Polynomial Trend Forecaster,26.8314,12.2549,22132.3151,22666.9065,0.7159,1.172,-21.6453,0.022
croston,Croston,27.7448,12.5332,21274.605,21900.7943,0.7292,1.2434,-19.2926,0.024
grand_means,Grand Means Forecaster,31.0627,14.2731,32936.9962,33454.6388,0.9231,1.7223,-55.6203,0.028
lar_cds_dt,Least Angular Regressor w/ Cond. Deseasonalize & Detrending,289.2437,195.2604,17495.2007,30145.057,2.576,0.6464,-588.7009,0.054
